"run","tick","Ertrag","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag","ResistenzPflanze","behaviour"
1,1.0,5150000.0,0.7766990291262136,0.0,0.0,30.485436893203882,0.0,0.0,1.0,2.0
1,2.0,5150000.0,3.8834951456310676,0.0,0.0,63.883495145631066,0.0,0.0,1.0,2.0
1,3.0,5150000.0,4.077669902912621,0.0,0.0,68.54368932038835,0.0,0.0,1.0,2.0
1,4.0,5150000.0,4.660194174757281,0.0,0.0,69.90291262135922,0.0,0.0,1.0,2.0
1,5.0,5150000.0,4.660194174757281,0.0,0.0,71.26213592233009,0.0,0.0,1.0,2.0
1,6.0,5150000.0,4.660194174757281,0.0,0.0,71.6504854368932,0.0,0.0,1.0,2.0
1,7.0,5150000.0,4.854368932038835,0.0,0.0,71.6504854368932,0.0,0.0,1.0,2.0
1,8.0,5150000.0,4.854368932038835,0.0,0.0,71.84466019417476,0.0,0.0,1.0,2.0
1,9.0,5150000.0,4.854368932038835,0.0,0.0,71.84466019417476,0.0,0.0,1.0,2.0
1,10.0,5150000.0,4.854368932038835,0.0,0.0,71.84466019417476,0.0,0.0,1.0,2.0
1,11.0,5150000.0,4.854368932038835,0.0,0.0,72.03883495145631,0.0,0.0,1.0,2.0
1,12.0,5150000.0,4.854368932038835,0.0,0.0,72.03883495145631,0.0,0.0,1.0,2.0
1,13.0,5150000.0,4.854368932038835,0.0,0.0,72.03883495145631,0.0,0.0,1.0,2.0
1,14.0,5150000.0,4.854368932038835,0.0,0.0,72.03883495145631,0.0,0.0,1.0,2.0
1,15.0,5150000.0,4.854368932038835,0.0,0.0,72.03883495145631,0.0,0.0,1.0,2.0
1,16.0,5150000.0,4.854368932038835,0.0,0.0,72.03883495145631,0.0,0.0,1.0,2.0
1,17.0,5150000.0,4.854368932038835,0.0,0.0,72.03883495145631,0.0,0.0,1.0,2.0
1,18.0,5150000.0,4.854368932038835,0.0,0.0,72.03883495145631,0.0,0.0,1.0,2.0
1,19.0,5150000.0,4.854368932038835,0.0,0.0,72.03883495145631,0.0,0.0,1.0,2.0
1,20.0,5150000.0,4.854368932038835,0.0,0.0,72.03883495145631,0.0,0.0,1.0,2.0
1,21.0,5150000.0,4.854368932038835,0.0,0.0,72.03883495145631,0.0,0.0,1.0,2.0
1,22.0,5150000.0,4.854368932038835,0.0,0.0,72.03883495145631,0.0,0.0,1.0,2.0
1,23.0,5150000.0,4.854368932038835,0.0,0.0,72.03883495145631,0.0,0.0,1.0,2.0
1,24.0,5150000.0,4.854368932038835,0.0,0.0,72.03883495145631,0.0,0.0,1.0,2.0
1,25.0,5150000.0,4.854368932038835,1.1650485436893203,1.1650485436893203,72.03883495145631,0.0,0.0,1.0,2.0
1,26.0,5150000.0,4.854368932038835,2.1359223300970873,2.1359223300970873,72.03883495145631,0.0,0.0,1.0,2.0
1,27.0,5150000.0,4.854368932038835,2.1359223300970873,2.1359223300970873,72.03883495145631,0.0,0.0,1.0,2.0
1,28.0,5150000.0,6.796116504854369,2.524271844660194,2.524271844660194,72.03883495145631,0.0,0.0,1.0,2.0
1,29.0,5150000.0,7.184466019417475,2.7184466019417477,2.7184466019417477,72.03883495145631,0.0,0.0,1.0,2.0
1,30.0,5150000.0,11.067961165048544,3.6893203883495143,3.6893203883495143,72.03883495145631,0.0,0.0,1.0,2.0
1,31.0,5150000.0,12.233009708737864,3.8834951456310676,3.8834951456310676,72.03883495145631,0.0,0.0,1.0,2.0
1,32.0,5150000.0,12.427184466019417,3.6893203883495143,3.6893203883495143,72.03883495145631,0.0,0.0,1.0,2.0
1,33.0,5150000.0,12.62135922330097,3.6893203883495143,3.6893203883495143,72.03883495145631,0.0,0.0,1.0,2.0
1,34.0,5150000.0,12.62135922330097,3.4951456310679614,3.4951456310679614,72.03883495145631,0.0,0.0,1.0,2.0
1,35.0,5150000.0,12.62135922330097,3.6893203883495143,3.6893203883495143,72.03883495145631,0.0,0.0,1.0,2.0
1,36.0,5150000.0,22.330097087378643,3.8834951456310676,3.8834951456310676,72.03883495145631,61.359223300970875,61.359223300970875,1.0,2.0
1,37.0,5150000.0,23.300970873786408,3.6893203883495143,3.6893203883495143,72.03883495145631,68.15533980582525,68.15533980582525,1.0,2.0
1,38.0,5150000.0,24.660194174757283,3.6893203883495143,3.6893203883495143,72.03883495145631,70.09708737864078,70.09708737864078,1.0,2.0
1,39.0,5150000.0,32.23300970873787,3.8834951456310676,3.8834951456310676,72.03883495145631,70.87378640776699,70.87378640776699,1.0,2.0
1,40.0,5150000.0,33.20388349514563,3.6893203883495143,3.6893203883495143,72.03883495145631,71.06796116504854,71.06796116504854,1.0,2.0
1,41.0,5150000.0,33.20388349514563,3.8834951456310676,3.8834951456310676,72.03883495145631,71.84466019417476,71.84466019417476,1.0,2.0
1,42.0,5150000.0,33.980582524271846,3.6893203883495143,3.6893203883495143,72.03883495145631,72.03883495145631,72.03883495145631,1.0,2.0
1,43.0,5150000.0,34.56310679611651,3.6893203883495143,3.6893203883495143,72.03883495145631,72.03883495145631,72.03883495145631,1.0,2.0
1,44.0,5150000.0,34.56310679611651,3.4951456310679614,3.4951456310679614,72.03883495145631,72.03883495145631,72.03883495145631,1.0,2.0
1,45.0,5150000.0,34.56310679611651,4.466019417475728,4.466019417475728,72.03883495145631,72.03883495145631,72.03883495145631,1.0,2.0
1,46.0,5150000.0,34.56310679611651,7.572815533980583,7.572815533980583,99.6116504854369,72.03883495145631,72.03883495145631,1.0,2.0
