"run","tick","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag","Ertrag"
9,21.0,5.048543689320388,0.0,0.0,66.40776699029126,0.0,0.0,5150000.0
9,22.0,5.048543689320388,0.0,0.0,66.40776699029126,0.0,0.0,5150000.0
9,23.0,5.048543689320388,0.0,0.0,66.40776699029126,0.0,0.0,5150000.0
9,24.0,5.048543689320388,0.0,0.0,66.40776699029126,0.0,0.0,5150000.0
9,25.0,5.048543689320388,0.5825242718446602,0.5825242718446602,66.40776699029126,0.0,0.0,5150000.0
9,26.0,5.048543689320388,1.7475728155339807,1.7475728155339807,66.40776699029126,0.0,0.0,5150000.0
9,27.0,5.048543689320388,1.7475728155339807,1.7475728155339807,66.40776699029126,0.0,0.0,5150000.0
9,28.0,6.796116504854369,2.912621359223301,2.912621359223301,66.40776699029126,0.0,0.0,5150000.0
9,29.0,7.572815533980583,2.912621359223301,2.912621359223301,66.40776699029126,0.0,0.0,5150000.0
9,30.0,11.45631067961165,4.077669902912621,4.077669902912621,66.40776699029126,0.0,0.0,5150000.0
9,31.0,13.009708737864079,4.077669902912621,4.077669902912621,66.40776699029126,0.0,0.0,5150000.0
9,32.0,13.009708737864079,4.077669902912621,4.077669902912621,66.40776699029126,0.0,0.0,5150000.0
9,33.0,13.009708737864079,4.077669902912621,4.077669902912621,66.40776699029126,0.0,0.0,5150000.0
9,34.0,13.398058252427184,4.077669902912621,4.077669902912621,66.40776699029126,0.0,0.0,5150000.0
9,35.0,13.398058252427184,4.077669902912621,4.077669902912621,66.40776699029126,0.0,0.0,5150000.0
9,36.0,22.718446601941746,4.077669902912621,4.077669902912621,66.40776699029126,0.0,0.0,5150000.0
9,37.0,24.660194174757283,4.077669902912621,4.077669902912621,66.40776699029126,0.0,0.0,5150000.0
9,38.0,25.24271844660194,4.077669902912621,4.077669902912621,66.40776699029126,0.0,0.0,5150000.0
9,39.0,33.00970873786408,4.077669902912621,4.077669902912621,66.40776699029126,0.0,0.0,5150000.0
9,40.0,34.1747572815534,4.077669902912621,4.077669902912621,66.40776699029126,0.0,0.0,5150000.0
9,41.0,34.75728155339806,4.077669902912621,4.077669902912621,66.40776699029126,0.0,0.0,5150000.0
9,42.0,34.75728155339806,4.077669902912621,4.077669902912621,66.40776699029126,0.0,0.0,5150000.0
9,43.0,35.14563106796116,4.077669902912621,4.077669902912621,66.40776699029126,55.72815533980583,55.72815533980583,5150000.0
9,44.0,35.33980582524272,4.077669902912621,4.077669902912621,66.40776699029126,61.74757281553398,61.74757281553398,5150000.0
9,45.0,35.33980582524272,4.854368932038835,4.854368932038835,66.40776699029126,64.07766990291263,64.07766990291263,5150000.0
9,46.0,35.33980582524272,6.796116504854369,6.796116504854369,94.75728155339806,65.0485436893204,65.0485436893204,5150000.0
9,47.0,35.53398058252427,8.737864077669903,8.737864077669903,95.53398058252426,65.8252427184466,65.8252427184466,5150000.0
9,48.0,35.53398058252427,8.737864077669903,8.737864077669903,95.92233009708738,65.8252427184466,65.8252427184466,5150000.0
9,49.0,45.63106796116505,9.70873786407767,9.70873786407767,95.92233009708738,66.2135922330097,66.2135922330097,5150000.0
9,50.0,50.48543689320388,9.70873786407767,9.70873786407767,95.92233009708738,66.2135922330097,66.2135922330097,5150000.0
9,51.0,51.45631067961165,9.514563106796116,9.514563106796116,95.92233009708738,66.2135922330097,66.2135922330097,5150000.0
9,52.0,51.84466019417475,9.902912621359224,9.902912621359224,95.92233009708738,66.2135922330097,66.2135922330097,5150000.0
9,53.0,61.55339805825243,9.514563106796116,9.514563106796116,95.92233009708738,66.2135922330097,66.2135922330097,5150000.0
9,54.0,65.24271844660194,11.45631067961165,11.45631067961165,95.92233009708738,66.2135922330097,66.2135922330097,5150000.0
9,55.0,66.01941747572816,11.45631067961165,11.45631067961165,95.92233009708738,66.2135922330097,66.2135922330097,5150000.0
9,56.0,68.54368932038835,13.398058252427184,13.398058252427184,95.92233009708738,66.2135922330097,66.2135922330097,5150000.0
9,57.0,68.73786407766991,13.592233009708737,13.592233009708737,95.92233009708738,66.2135922330097,66.2135922330097,5141338.890000002
9,58.0,68.73786407766991,16.893203883495143,16.893203883495143,95.92233009708738,66.2135922330097,66.2135922330097,5132308.859999995
9,59.0,68.73786407766991,16.50485436893204,16.50485436893204,95.92233009708738,66.2135922330097,66.2135922330097,5122909.91
9,60.0,68.73786407766991,20.776699029126213,14.563106796116504,95.92233009708738,66.2135922330097,50.09708737864078,5116289.130000004
9,61.0,74.9514563106796,20.388349514563107,14.174757281553399,95.92233009708738,66.40776699029126,50.29126213592233,5109374.640000001
9,62.0,75.53398058252428,23.106796116504853,16.116504854368934,95.92233009708738,66.40776699029126,50.29126213592233,5102211.98
9,63.0,80.58252427184466,23.106796116504853,15.922330097087379,95.92233009708738,66.40776699029126,50.29126213592233,5094771.4799999995
9,64.0,80.97087378640776,25.24271844660194,18.446601941747574,95.92233009708738,66.40776699029126,50.29126213592233,5087082.809999999
9,65.0,80.97087378640776,25.24271844660194,18.83495145631068,95.92233009708738,66.40776699029126,50.29126213592233,5079145.970000003
9,66.0,80.97087378640776,27.184466019417474,20.97087378640777,95.92233009708738,66.40776699029126,50.29126213592233,5070960.960000002
9,67.0,80.97087378640776,27.184466019417474,20.776699029126213,95.92233009708738,66.40776699029126,50.29126213592233,5062527.779999998
9,68.0,80.97087378640776,27.184466019417474,20.776699029126213,95.92233009708738,66.40776699029126,50.29126213592233,5053846.430000002
9,69.0,80.97087378640776,27.57281553398058,20.776699029126213,95.92233009708738,66.40776699029126,50.29126213592233,5044916.909999997
9,70.0,90.09708737864077,27.184466019417474,20.58252427184466,95.92233009708738,66.40776699029126,50.29126213592233,5035615.0200000005
9,71.0,90.67961165048544,33.00970873786408,24.660194174757283,97.28155339805825,66.40776699029126,50.29126213592233,5025979.3999999985
9,72.0,92.62135922330097,33.592233009708735,25.24271844660194,97.28155339805825,66.40776699029126,50.29126213592233,5015927.249999994
9,73.0,92.62135922330097,38.640776699029125,28.54368932038835,98.64077669902913,66.40776699029126,50.29126213592233,5005465.930000001
9,74.0,92.81553398058252,46.019417475728154,35.53398058252427,98.64077669902913,66.40776699029126,50.29126213592233,4994595.440000001
9,75.0,92.81553398058252,50.48543689320388,39.6116504854369,98.83495145631068,66.40776699029126,50.29126213592233,4983315.779999997
