"run","Jahr","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,16,3000,2,2080,1,551111693,5.14,1,1,23.34,72.09,400,0,1,7.5
2,16,3000,2,2080,1,551296021,5.14,1,1,23.34,72.09,400,0,1,7.5
3,16,3000,2,2080,1,551467434,5.14,1,1,23.34,72.09,400,0,1,7.5
4,16,3000,2,2080,1,551697045,5.14,1,1,23.34,72.09,400,0,1,7.5
5,16,3000,2,2080,1,551917785,5.14,1,1,23.34,72.09,400,0,1,7.5
6,16,3000,2,2080,1,552148916,5.14,1,1,23.34,72.09,400,0,1,7.5
7,16,3000,2,2080,1,552327967,5.14,1,1,23.34,72.09,400,0,1,7.5
8,16,3000,2,2080,1,552502505,5.14,1,1,23.34,72.09,400,0,1,7.5
9,16,3000,2,2080,1,552675709,5.14,1,1,23.34,72.09,400,0,1,7.5
10,16,3000,2,2080,1,552901419,5.14,1,1,23.34,72.09,400,0,1,7.5
