"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,200,2,5200,2,1516802008,5.14,1,1,23.34,72.09,7500,1,0,7.5
3,200,2,5200,2,1516829486,5.14,1,1,23.34,72.09,7500,1,0,7.5
5,200,2,5200,2,1516850275,5.14,1,1,23.34,72.09,7500,1,0,7.5
7,200,2,5200,2,1516868828,5.14,1,1,23.34,72.09,7500,1,0,7.5
9,200,2,5200,2,1516885189,5.14,1,1,23.34,72.09,7500,1,0,7.5
2,200,2,5200,2,1516802033,5.14,1,1,23.34,72.09,7500,1,0,7.5
4,200,2,5200,2,1516827791,5.14,1,1,23.34,72.09,7500,1,0,7.5
6,200,2,5200,2,1516849908,5.14,1,1,23.34,72.09,7500,1,0,7.5
8,200,2,5200,2,1516870249,5.14,1,1,23.34,72.09,7500,1,0,7.5
10,200,2,5200,2,1516887811,5.14,1,1,23.34,72.09,7500,1,0,7.5
