"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,80,2,2080,3,255752954,5.14,1,1,23.34,72.09,2000,1,2,7.5
2,80,2,2080,3,255759843,5.14,1,1,23.34,72.09,2000,1,2,7.5
3,80,2,2080,3,255764518,5.14,1,1,23.34,72.09,2000,1,2,7.5
4,80,2,2080,3,255768491,5.14,1,1,23.34,72.09,2000,1,2,7.5
5,80,2,2080,3,255771097,5.14,1,1,23.34,72.09,2000,1,2,7.5
6,80,2,2080,3,255772977,5.14,1,1,23.34,72.09,2000,1,2,7.5
7,80,2,2080,3,255774784,5.14,1,1,23.34,72.09,2000,1,2,7.5
8,80,2,2080,3,255777185,5.14,1,1,23.34,72.09,2000,1,2,7.5
9,80,2,2080,3,255779627,5.14,1,1,23.34,72.09,2000,1,2,7.5
10,80,2,2080,3,255781840,5.14,1,1,23.34,72.09,2000,1,2,7.5
