"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,20,2,520,2,-1577097288,5.14,1,1,23.34,72.09,700,0,7.5
2,20,2,520,2,-1577093177,5.14,1,1,23.34,72.09,700,0,7.5
3,20,2,520,2,-1577090517,5.14,1,1,23.34,72.09,700,0,7.5
4,20,2,520,2,-1577089099,5.14,1,1,23.34,72.09,700,0,7.5
5,20,2,520,2,-1577088040,5.14,1,1,23.34,72.09,700,0,7.5
6,20,2,520,2,-1577086991,5.14,1,1,23.34,72.09,700,0,7.5
7,20,2,520,2,-1577086201,5.14,1,1,23.34,72.09,700,0,7.5
8,20,2,520,2,-1577084986,5.14,1,1,23.34,72.09,700,0,7.5
9,20,2,520,2,-1577083823,5.14,1,1,23.34,72.09,700,0,7.5
10,20,2,520,2,-1577082985,5.14,1,1,23.34,72.09,700,0,7.5
11,20,2,520,2,-1577081916,5.14,1,1,23.34,72.09,700,0,7.5
12,20,2,520,2,-1577080945,5.14,1,1,23.34,72.09,700,0,7.5
13,20,2,520,2,-1577080128,5.14,1,1,23.34,72.09,700,0,7.5
14,20,2,520,2,-1577079383,5.14,1,1,23.34,72.09,700,0,7.5
15,20,2,520,2,-1577078664,5.14,1,1,23.34,72.09,700,0,7.5
16,20,2,520,2,-1577077924,5.14,1,1,23.34,72.09,700,0,7.5
17,20,2,520,2,-1577077064,5.14,1,1,23.34,72.09,700,0,7.5
18,20,2,520,2,-1577076332,5.14,1,1,23.34,72.09,700,0,7.5
19,20,2,520,2,-1577075561,5.14,1,1,23.34,72.09,700,0,7.5
20,20,2,520,2,-1577074865,5.14,1,1,23.34,72.09,700,0,7.5
21,20,2,520,2,-1577074135,5.14,1,1,23.34,72.09,700,0,7.5
22,20,2,520,2,-1577073444,5.14,1,1,23.34,72.09,700,0,7.5
23,20,2,520,2,-1577072744,5.14,1,1,23.34,72.09,700,0,7.5
24,20,2,520,2,-1577072069,5.14,1,1,23.34,72.09,700,0,7.5
25,20,2,520,2,-1577071322,5.14,1,1,23.34,72.09,700,0,7.5
26,20,2,520,2,-1577070607,5.14,1,1,23.34,72.09,700,0,7.5
27,20,2,520,2,-1577069851,5.14,1,1,23.34,72.09,700,0,7.5
28,20,2,520,2,-1577068897,5.14,1,1,23.34,72.09,700,0,7.5
29,20,2,520,2,-1577068192,5.14,1,1,23.34,72.09,700,0,7.5
30,20,2,520,2,-1577067543,5.14,1,1,23.34,72.09,700,0,7.5
31,20,2,520,2,-1577066819,5.14,1,1,23.34,72.09,700,0,7.5
32,20,2,520,2,-1577066036,5.14,1,1,23.34,72.09,700,0,7.5
33,20,2,520,2,-1577065320,5.14,1,1,23.34,72.09,700,0,7.5
34,20,2,520,2,-1577064482,5.14,1,1,23.34,72.09,700,0,7.5
35,20,2,520,2,-1577063854,5.14,1,1,23.34,72.09,700,0,7.5
36,20,2,520,2,-1577063102,5.14,1,1,23.34,72.09,700,0,7.5
37,20,2,520,2,-1577062264,5.14,1,1,23.34,72.09,700,0,7.5
38,20,2,520,2,-1577061568,5.14,1,1,23.34,72.09,700,0,7.5
39,20,2,520,2,-1577060829,5.14,1,1,23.34,72.09,700,0,7.5
40,20,2,520,2,-1577060117,5.14,1,1,23.34,72.09,700,0,7.5
41,20,2,520,2,-1577059475,5.14,1,1,23.34,72.09,700,0,7.5
42,20,2,520,2,-1577058839,5.14,1,1,23.34,72.09,700,0,7.5
43,20,2,520,2,-1577058199,5.14,1,1,23.34,72.09,700,0,7.5
44,20,2,520,2,-1577057332,5.14,1,1,23.34,72.09,700,0,7.5
45,20,2,520,2,-1577056339,5.14,1,1,23.34,72.09,700,0,7.5
46,20,2,520,2,-1577055458,5.14,1,1,23.34,72.09,700,0,7.5
47,20,2,520,2,-1577054588,5.14,1,1,23.34,72.09,700,0,7.5
48,20,2,520,2,-1577053678,5.14,1,1,23.34,72.09,700,0,7.5
49,20,2,520,2,-1577052785,5.14,1,1,23.34,72.09,700,0,7.5
50,20,2,520,2,-1577052113,5.14,1,1,23.34,72.09,700,0,7.5
