"run","tick","IntegralBHGR","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRsicht","IntegralBHGRsicht1","IntegralBHGRsicht2","IntegralBHST","IntegralBHST1","IntegralBHST2","IntegralBHSTertrag","IntegralBHSTertrag1","IntegralBHSTertrag2","IntegralBHSTsicht","IntegralBHSTsicht1","IntegralBHSTsicht2","GRCount","GRertragCount","GRsichtCount","STCount","STertragCount","STsichtCount","Resistance","Behaviour","Jahr"
1,166.0,441.0,281.0,160.0,107.0,42.0,65.0,279.0,184.0,95.0,10773.0,4276.0,6497.0,5830.0,1540.0,4290.0,9763.0,3328.0,6435.0,3672.0,1152.0,2147.0,412121.0,51339.0,265057.0,2.0,0.0,17.0
3,166.0,338.0,176.0,162.0,80.0,15.0,65.0,203.0,108.0,95.0,10696.0,4261.0,6435.0,5583.0,1488.0,4095.0,9767.0,3332.0,6435.0,2628.0,901.0,1603.0,403318.0,48404.0,257891.0,2.0,0.0,17.0
5,166.0,302.0,157.0,145.0,10.0,10.0,0.0,128.0,98.0,30.0,10687.0,4252.0,6435.0,5654.0,1429.0,4225.0,9689.0,3254.0,6435.0,2360.0,531.0,1146.0,398115.0,52230.0,256027.0,2.0,0.0,17.0
7,166.0,415.0,190.0,225.0,77.0,12.0,65.0,199.0,104.0,95.0,10775.0,4278.0,6497.0,5746.0,1521.0,4225.0,9742.0,3307.0,6435.0,3357.0,953.0,1740.0,402859.0,50116.0,260277.0,2.0,0.0,17.0
9,166.0,493.0,257.0,236.0,128.0,26.0,102.0,323.0,176.0,147.0,10696.0,4261.0,6435.0,5873.0,1518.0,4355.0,9781.0,3346.0,6435.0,3994.0,1154.0,2295.0,413932.0,54887.0,266167.0,2.0,0.0,17.0
11,166.0,405.0,249.0,156.0,96.0,31.0,65.0,263.0,183.0,80.0,10685.0,4250.0,6435.0,5779.0,1554.0,4225.0,9727.0,3292.0,6435.0,3492.0,1139.0,2102.0,414525.0,54763.0,264892.0,2.0,0.0,17.0
13,166.0,171.0,109.0,62.0,0.0,0.0,0.0,60.0,60.0,0.0,10642.0,4210.0,6432.0,5374.0,1409.0,3965.0,9590.0,3220.0,6370.0,1454.0,338.0,716.0,397598.0,48736.0,255251.0,2.0,0.0,17.0
15,166.0,593.0,295.0,298.0,155.0,39.0,116.0,358.0,197.0,161.0,10773.0,4276.0,6497.0,5272.0,1437.0,3835.0,9780.0,3345.0,6435.0,4310.0,1458.0,2562.0,399047.0,48672.0,254608.0,2.0,0.0,17.0
17,166.0,328.0,180.0,148.0,81.0,30.0,51.0,211.0,130.0,81.0,10702.0,4267.0,6435.0,5443.0,1413.0,4030.0,9746.0,3311.0,6435.0,2728.0,883.0,1601.0,408984.0,52592.0,261075.0,2.0,0.0,17.0
19,166.0,487.0,259.0,228.0,74.0,22.0,52.0,269.0,172.0,97.0,10698.0,4263.0,6435.0,5482.0,1452.0,4030.0,9728.0,3293.0,6435.0,3864.0,1206.0,2267.0,392863.0,48524.0,253173.0,2.0,0.0,17.0
2,166.0,306.0,200.0,106.0,96.0,44.0,52.0,225.0,143.0,82.0,10734.0,4237.0,6497.0,5299.0,1399.0,3900.0,9725.0,3290.0,6435.0,2709.0,1032.0,1757.0,408499.0,47712.0,259322.0,2.0,0.0,17.0
4,166.0,472.0,248.0,224.0,58.0,8.0,50.0,253.0,158.0,95.0,10736.0,4239.0,6497.0,5670.0,1510.0,4160.0,9681.0,3246.0,6435.0,3604.0,828.0,1901.0,386784.0,50073.0,247062.0,2.0,0.0,17.0
6,166.0,363.0,203.0,160.0,29.0,29.0,0.0,179.0,149.0,30.0,10750.0,4256.0,6494.0,5698.0,1473.0,4225.0,9664.0,3294.0,6370.0,3027.0,861.0,1721.0,395608.0,50272.0,253032.0,2.0,0.0,17.0
