"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,160,2,5200,1,1268337390,5.14,1,1,23.34,72.09,7500,1,0,7.5
3,160,2,5200,1,1268425682,5.14,1,1,23.34,72.09,7500,1,0,7.5
5,160,2,5200,1,1268507787,5.14,1,1,23.34,72.09,7500,1,0,7.5
7,160,2,5200,1,1268588721,5.14,1,1,23.34,72.09,7500,1,0,7.5
9,160,2,5200,1,1268662609,5.14,1,1,23.34,72.09,7500,1,0,7.5
2,160,2,5200,1,1268337070,5.14,1,1,23.34,72.09,7500,1,0,7.5
4,160,2,5200,1,1268453429,5.14,1,1,23.34,72.09,7500,1,0,7.5
6,160,2,5200,1,1268533124,5.14,1,1,23.34,72.09,7500,1,0,7.5
8,160,2,5200,1,1268596859,5.14,1,1,23.34,72.09,7500,1,0,7.5
10,160,2,5200,1,1268672137,5.14,1,1,23.34,72.09,7500,1,0,7.5
