"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,700,2,2080,1,-1484875081,5.14,1,1,23.34,72.09,200,2,0,7.5
2,700,2,2080,1,-1484713939,5.14,1,1,23.34,72.09,200,2,0,7.5
3,700,2,2080,1,-1484553658,5.14,1,1,23.34,72.09,200,2,0,7.5
4,700,2,2080,1,-1484401135,5.14,1,1,23.34,72.09,200,2,0,7.5
5,700,2,2080,1,-1484255620,5.14,1,1,23.34,72.09,200,2,0,7.5
6,700,2,2080,1,-1484103093,5.14,1,1,23.34,72.09,200,2,0,7.5
7,700,2,2080,1,-1483961818,5.14,1,1,23.34,72.09,200,2,0,7.5
8,700,2,2080,1,-1483817760,5.14,1,1,23.34,72.09,200,2,0,7.5
9,700,2,2080,1,-1482460982,5.14,1,1,23.34,72.09,200,2,0,7.5
10,700,2,2080,1,-1482312377,5.14,1,1,23.34,72.09,200,2,0,7.5
