"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,180,2,5200,1,1256257045,5.14,1,1,23.34,72.09,7100,1,0,7.5
3,180,2,5200,1,1256424202,5.14,1,1,23.34,72.09,7100,1,0,7.5
5,180,2,5200,1,1256565673,5.14,1,1,23.34,72.09,7100,1,0,7.5
7,180,2,5200,1,1256695285,5.14,1,1,23.34,72.09,7100,1,0,7.5
9,180,2,5200,1,1256829698,5.14,1,1,23.34,72.09,7100,1,0,7.5
2,180,2,5200,1,1256255289,5.14,1,1,23.34,72.09,7100,1,0,7.5
4,180,2,5200,1,1256440158,5.14,1,1,23.34,72.09,7100,1,0,7.5
6,180,2,5200,1,1256583659,5.14,1,1,23.34,72.09,7100,1,0,7.5
8,180,2,5200,1,1256712225,5.14,1,1,23.34,72.09,7100,1,0,7.5
10,180,2,5200,1,1256829202,5.14,1,1,23.34,72.09,7100,1,0,7.5
