"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,80,2,2080,1,-2090345057,5.14,1,1,23.34,72.09,3000,1,0,7.5
2,80,2,2080,1,-2090288580,5.14,1,1,23.34,72.09,3000,1,0,7.5
3,80,2,2080,1,-2090242076,5.14,1,1,23.34,72.09,3000,1,0,7.5
4,80,2,2080,1,-2090200939,5.14,1,1,23.34,72.09,3000,1,0,7.5
5,80,2,2080,1,-2090157130,5.14,1,1,23.34,72.09,3000,1,0,7.5
6,80,2,2080,1,-2090114731,5.14,1,1,23.34,72.09,3000,1,0,7.5
7,80,2,2080,1,-2090071454,5.14,1,1,23.34,72.09,3000,1,0,7.5
8,80,2,2080,1,-2090030079,5.14,1,1,23.34,72.09,3000,1,0,7.5
9,80,2,2080,1,-2089987939,5.14,1,1,23.34,72.09,3000,1,0,7.5
10,80,2,2080,1,-2089949627,5.14,1,1,23.34,72.09,3000,1,0,7.5
