"run","tick","IntegralBHGRErtrag","IntegralBHGRSicht","IntegralBHST","IntegralBHSTErtrag","IntegralBHSTSicht","IntegralGRCount","IntegralGRErtragCount","IntegralGRSichtCount","IntegralSTCount","IntegralSTErtragCount","IntegralSTSichtCount","IntegralBHGR","IntegralGRCount1","IntegralGRCount2","IntegralGRErtragCount1","IntegralGRErtragCount2","IntegralGRSichtCount1","IntegralGRSichtCount2","IntegralSTCount1","IntegralSTCount2","IntegralSTErtragCount1","IntegralSTErtragCount2","IntegralSTSichtCount1","IntegralSTSichtCount2","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRSicht1","IntegralBHGRSicht2","IntegralBHST1","IntegralBHST2","IntegralBHSTErtrag1","IntegralBHSTErtrag2","IntegralBHSTSicht1","IntegralBHSTSicht2"
1,166.0,6009.0,6572.0,10885.0,8760.0,10286.0,1466721.0,791063.0,824001.0,903613.0,146225.0,547385.0,8188.0,61899.0,1404822.0,8695.0,782368.0,26082.0,797919.0,216461.0,687152.0,32705.0,113520.0,122741.0,424644.0,2025.0,6163.0,724.0,5285.0,1156.0,5416.0,4385.0,6500.0,2526.0,6234.0,3786.0,6500.0
3,166.0,3902.0,4314.0,10900.0,5290.0,10006.0,2265114.0,563502.0,594962.0,662669.0,42721.0,384161.0,6304.0,62274.0,2202840.0,7750.0,555752.0,23884.0,571078.0,179751.0,482918.0,13219.0,29502.0,87491.0,296670.0,1523.0,4781.0,567.0,3335.0,901.0,3413.0,4400.0,6500.0,1645.0,3645.0,3512.0,6494.0
5,166.0,4966.0,5432.0,10876.0,8233.0,10048.0,1426541.0,478703.0,504388.0,924454.0,141518.0,534378.0,7664.0,53040.0,1373501.0,6666.0,472037.0,20177.0,484211.0,218934.0,705520.0,20210.0,121308.0,101286.0,433092.0,1775.0,5889.0,608.0,4358.0,972.0,4460.0,4376.0,6500.0,2003.0,6230.0,3548.0,6500.0
7,166.0,4489.0,4873.0,10900.0,5050.0,9941.0,2820092.0,893510.0,932425.0,658696.0,38232.0,375042.0,6624.0,76382.0,2743710.0,10844.0,882666.0,31261.0,901164.0,179040.0,479656.0,10578.0,27654.0,80022.0,295020.0,1717.0,4907.0,698.0,3791.0,1032.0,3841.0,4400.0,6500.0,1417.0,3633.0,3444.0,6497.0
9,166.0,4025.0,4506.0,10876.0,8112.0,10064.0,1910496.0,437519.0,464973.0,908157.0,134079.0,521031.0,7052.0,53389.0,1857107.0,7007.0,430512.0,21190.0,443783.0,216981.0,691176.0,17325.0,116754.0,95463.0,425568.0,1696.0,5356.0,585.0,3440.0,937.0,3569.0,4376.0,6500.0,1930.0,6182.0,3565.0,6499.0
11,166.0,3742.0,4227.0,10853.0,5143.0,9846.0,1672946.0,383490.0,406945.0,662051.0,39066.0,376419.0,6773.0,46443.0,1626503.0,6350.0,377140.0,18641.0,388304.0,179733.0,482318.0,10789.0,28277.0,79758.0,296661.0,1679.0,5094.0,562.0,3180.0,933.0,3294.0,4356.0,6497.0,1419.0,3724.0,3411.0,6435.0
13,166.0,5745.0,6342.0,10876.0,8897.0,10324.0,1797978.0,881227.0,921009.0,920863.0,153438.0,562718.0,8133.0,75938.0,1722040.0,11055.0,870172.0,32147.0,888862.0,219531.0,701332.0,36816.0,116622.0,129164.0,433554.0,2291.0,5842.0,863.0,4882.0,1339.0,5003.0,4376.0,6500.0,2664.0,6233.0,3824.0,6500.0
15,166.0,4469.0,4917.0,10900.0,5206.0,10009.0,2923471.0,915097.0,954849.0,658563.0,41249.0,381981.0,7045.0,79108.0,2844363.0,11303.0,903794.0,32325.0,922524.0,178667.0,479896.0,12935.0,28314.0,87093.0,294888.0,1819.0,5226.0,739.0,3730.0,1096.0,3821.0,4400.0,6500.0,1623.0,3583.0,3511.0,6498.0
17,166.0,5200.0,5621.0,10876.0,8727.0,10266.0,2765845.0,1137721.0,1187155.0,920637.0,152034.0,555159.0,7435.0,92256.0,2673589.0,14481.0,1123240.0,41231.0,1145924.0,218343.0,702294.0,32508.0,119526.0,123123.0,432036.0,1932.0,5503.0,843.0,4357.0,1185.0,4436.0,4376.0,6500.0,2502.0,6225.0,3766.0,6500.0
19,166.0,4701.0,5235.0,10900.0,8561.0,10203.0,1212997.0,299703.0,321817.0,918991.0,149299.0,545006.0,7546.0,45293.0,1167704.0,5327.0,294376.0,16396.0,305421.0,218473.0,700518.0,27331.0,121968.0,113630.0,431376.0,1843.0,5703.0,574.0,4127.0,977.0,4258.0,4400.0,6500.0,2389.0,6172.0,3703.0,6500.0
