"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,200,2,5200,3,1517895549,5.14,1,1,23.34,72.09,7500,1,0,7.5
3,200,2,5200,3,1517916250,5.14,1,1,23.34,72.09,7500,1,0,7.5
5,200,2,5200,3,1517930672,5.14,1,1,23.34,72.09,7500,1,0,7.5
7,200,2,5200,3,1517944197,5.14,1,1,23.34,72.09,7500,1,0,7.5
9,200,2,5200,3,1517957919,5.14,1,1,23.34,72.09,7500,1,0,7.5
2,200,2,5200,3,1517895519,5.14,1,1,23.34,72.09,7500,1,0,7.5
4,200,2,5200,3,1517916893,5.14,1,1,23.34,72.09,7500,1,0,7.5
6,200,2,5200,3,1517932434,5.14,1,1,23.34,72.09,7500,1,0,7.5
8,200,2,5200,3,1517946394,5.14,1,1,23.34,72.09,7500,1,0,7.5
10,200,2,5200,3,1517960162,5.14,1,1,23.34,72.09,7500,1,0,7.5
