"run","tick","IntegralBHGR","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRsicht","IntegralBHGRsicht1","IntegralBHGRsicht2","IntegralBHST","IntegralBHST1","IntegralBHST2","IntegralBHSTertrag","IntegralBHSTertrag1","IntegralBHSTertrag2","IntegralBHSTsicht","IntegralBHSTsicht1","IntegralBHSTsicht2","GRCount","GRertragCount","GRsichtCount","STCount","STertragCount","STsichtCount","Resistance","Behaviour","Jahr"
1,166.0,7382.0,2104.0,5278.0,4864.0,672.0,4192.0,5675.0,1340.0,4335.0,10900.0,4400.0,6500.0,8051.0,2266.0,5785.0,10242.0,3742.0,6500.0,386219.0,120539.0,139471.0,996835.0,111088.0,622659.0,1.0,0.0,17.0
2,166.0,7104.0,1987.0,5117.0,4755.0,618.0,4137.0,5560.0,1282.0,4278.0,10900.0,4400.0,6500.0,8339.0,2359.0,5980.0,10260.0,3760.0,6500.0,318579.0,118247.0,137131.0,1015885.0,116604.0,633852.0,1.0,0.0,17.0
3,166.0,7528.0,2167.0,5361.0,5154.0,756.0,4398.0,5918.0,1404.0,4514.0,10900.0,4400.0,6500.0,8181.0,2331.0,5850.0,10269.0,3769.0,6500.0,332748.0,123497.0,142420.0,1014819.0,119480.0,629923.0,1.0,0.0,17.0
4,166.0,7647.0,2236.0,5411.0,5165.0,728.0,4437.0,6025.0,1418.0,4607.0,10887.0,4387.0,6500.0,8198.0,2348.0,5850.0,10236.0,3736.0,6500.0,320769.0,119708.0,138500.0,999360.0,119133.0,624232.0,1.0,0.0,17.0
5,166.0,7150.0,1995.0,5155.0,4842.0,706.0,4136.0,5514.0,1276.0,4238.0,10887.0,4387.0,6500.0,8110.0,2325.0,5785.0,10229.0,3729.0,6500.0,361143.0,114972.0,132201.0,999094.0,112083.0,624150.0,1.0,0.0,17.0
6,166.0,7381.0,2094.0,5287.0,4809.0,647.0,4162.0,5642.0,1338.0,4304.0,10887.0,4387.0,6500.0,8110.0,2325.0,5785.0,10301.0,3801.0,6500.0,333897.0,105351.0,122606.0,980692.0,113997.0,616325.0,1.0,0.0,17.0
7,166.0,7777.0,2224.0,5553.0,5290.0,662.0,4628.0,6165.0,1381.0,4784.0,10900.0,4400.0,6500.0,8273.0,2358.0,5915.0,10290.0,3790.0,6500.0,243889.0,110863.0,128408.0,1008419.0,117058.0,629531.0,1.0,0.0,17.0
8,166.0,7307.0,2087.0,5220.0,5015.0,691.0,4324.0,5794.0,1344.0,4450.0,10900.0,4400.0,6500.0,8205.0,2290.0,5915.0,10231.0,3731.0,6500.0,322256.0,121249.0,139934.0,981655.0,113823.0,614221.0,1.0,0.0,17.0
9,166.0,7071.0,2025.0,5046.0,4593.0,670.0,3923.0,5418.0,1353.0,4065.0,10885.0,4385.0,6500.0,8358.0,2378.0,5980.0,10331.0,3831.0,6500.0,446047.0,123771.0,143856.0,998163.0,114709.0,629231.0,1.0,0.0,17.0
10,166.0,7565.0,2245.0,5320.0,5216.0,676.0,4540.0,6099.0,1415.0,4684.0,10885.0,4385.0,6500.0,8279.0,2299.0,5980.0,10248.0,3748.0,6500.0,264836.0,119342.0,137613.0,1004878.0,116186.0,625391.0,1.0,0.0,17.0
