"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,80,2,2080,3,261947884,5.14,1,1,23.34,72.09,3000,1,0,7.5
3,80,2,2080,3,261959146,5.14,1,1,23.34,72.09,3000,1,0,7.5
5,80,2,2080,3,261965017,5.14,1,1,23.34,72.09,3000,1,0,7.5
7,80,2,2080,3,261969183,5.14,1,1,23.34,72.09,3000,1,0,7.5
9,80,2,2080,3,261972419,5.14,1,1,23.34,72.09,3000,1,0,7.5
2,80,2,2080,3,261948248,5.14,1,1,23.34,72.09,3000,1,0,7.5
4,80,2,2080,3,261959821,5.14,1,1,23.34,72.09,3000,1,0,7.5
6,80,2,2080,3,261965665,5.14,1,1,23.34,72.09,3000,1,0,7.5
8,80,2,2080,3,261969966,5.14,1,1,23.34,72.09,3000,1,0,7.5
10,80,2,2080,3,261973420,5.14,1,1,23.34,72.09,3000,1,0,7.5
