"run","Jahr","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,16,3000,2,2080,1,509313851,5.14,1,1,23.34,72.09,400,0,1,7.5
2,16,3000,2,2080,2,509501270,5.14,1,1,23.34,72.09,400,0,1,7.5
3,16,3000,2,2080,3,509507046,5.14,1,1,23.34,72.09,400,0,1,7.5
4,16,3000,2,2080,1,509509338,5.14,1,1,23.34,72.09,400,0,1,7.5
5,16,3000,2,2080,2,509690382,5.14,1,1,23.34,72.09,400,0,1,7.5
6,16,3000,2,2080,3,509696101,5.14,1,1,23.34,72.09,400,0,1,7.5
7,16,3000,2,2080,1,509698237,5.14,1,1,23.34,72.09,400,0,1,7.5
8,16,3000,2,2080,2,509883013,5.14,1,1,23.34,72.09,400,0,1,7.5
9,16,3000,2,2080,3,509888520,5.14,1,1,23.34,72.09,400,0,1,7.5
10,16,3000,2,2080,1,509890596,5.14,1,1,23.34,72.09,400,0,1,7.5
11,16,3000,2,2080,2,510124554,5.14,1,1,23.34,72.09,400,0,1,7.5
12,16,3000,2,2080,3,510130066,5.14,1,1,23.34,72.09,400,0,1,7.5
13,16,3000,2,2080,1,510131877,5.14,1,1,23.34,72.09,400,0,1,7.5
14,16,3000,2,2080,2,510310371,5.14,1,1,23.34,72.09,400,0,1,7.5
15,16,3000,2,2080,3,510315916,5.14,1,1,23.34,72.09,400,0,1,7.5
16,16,3000,2,2080,1,510317705,5.14,1,1,23.34,72.09,400,0,1,7.5
17,16,3000,2,2080,2,510507039,5.14,1,1,23.34,72.09,400,0,1,7.5
18,16,3000,2,2080,3,510513926,5.14,1,1,23.34,72.09,400,0,1,7.5
19,16,3000,2,2080,1,510515670,5.14,1,1,23.34,72.09,400,0,1,7.5
20,16,3000,2,2080,2,510702307,5.14,1,1,23.34,72.09,400,0,1,7.5
21,16,3000,2,2080,3,510707771,5.14,1,1,23.34,72.09,400,0,1,7.5
22,16,3000,2,2080,1,510709479,5.14,1,1,23.34,72.09,400,0,1,7.5
23,16,3000,2,2080,2,510894653,5.14,1,1,23.34,72.09,400,0,1,7.5
24,16,3000,2,2080,3,510900503,5.14,1,1,23.34,72.09,400,0,1,7.5
25,16,3000,2,2080,1,510902129,5.14,1,1,23.34,72.09,400,0,1,7.5
26,16,3000,2,2080,2,511082375,5.14,1,1,23.34,72.09,400,0,1,7.5
27,16,3000,2,2080,3,511088463,5.14,1,1,23.34,72.09,400,0,1,7.5
28,16,3000,2,2080,1,511090131,5.14,1,1,23.34,72.09,400,0,1,7.5
29,16,3000,2,2080,2,511270906,5.14,1,1,23.34,72.09,400,0,1,7.5
30,16,3000,2,2080,3,511276442,5.14,1,1,23.34,72.09,400,0,1,7.5
