"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,160,2,5200,1,1259701485,5.14,1,1,23.34,72.09,7300,1,0,7.5
2,160,2,5200,1,1259785441,5.14,1,1,23.34,72.09,7300,1,0,7.5
3,160,2,5200,1,1259864038,5.14,1,1,23.34,72.09,7300,1,0,7.5
4,160,2,5200,1,1259932361,5.14,1,1,23.34,72.09,7300,1,0,7.5
5,160,2,5200,1,1260002634,5.14,1,1,23.34,72.09,7300,1,0,7.5
6,160,2,5200,1,1260072287,5.14,1,1,23.34,72.09,7300,1,0,7.5
7,160,2,5200,1,1260142517,5.14,1,1,23.34,72.09,7300,1,0,7.5
8,160,2,5200,1,1260215119,5.14,1,1,23.34,72.09,7300,1,0,7.5
9,160,2,5200,1,1260284450,5.14,1,1,23.34,72.09,7300,1,0,7.5
10,160,2,5200,1,1260359538,5.14,1,1,23.34,72.09,7300,1,0,7.5
