"run","Jahr","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,17,3000,2,2080,1,505028359,5.14,1,1,23.34,72.09,400,2,1,7.5
2,17,3000,2,2080,2,505049322,5.14,1,1,23.34,72.09,400,2,1,7.5
3,17,3000,2,2080,3,505054381,5.14,1,1,23.34,72.09,400,2,1,7.5
4,17,3000,2,2080,1,505056713,5.14,1,1,23.34,72.09,400,2,1,7.5
5,17,3000,2,2080,2,505070883,5.14,1,1,23.34,72.09,400,2,1,7.5
6,17,3000,2,2080,3,505074502,5.14,1,1,23.34,72.09,400,2,1,7.5
7,17,3000,2,2080,1,505076894,5.14,1,1,23.34,72.09,400,2,1,7.5
8,17,3000,2,2080,2,505092104,5.14,1,1,23.34,72.09,400,2,1,7.5
9,17,3000,2,2080,3,505095078,5.14,1,1,23.34,72.09,400,2,1,7.5
10,17,3000,2,2080,1,505096805,5.14,1,1,23.34,72.09,400,2,1,7.5
11,17,3000,2,2080,2,505111668,5.14,1,1,23.34,72.09,400,2,1,7.5
12,17,3000,2,2080,3,505114040,5.14,1,1,23.34,72.09,400,2,1,7.5
13,17,3000,2,2080,1,505115862,5.14,1,1,23.34,72.09,400,2,1,7.5
14,17,3000,2,2080,2,505129289,5.14,1,1,23.34,72.09,400,2,1,7.5
15,17,3000,2,2080,3,505132561,5.14,1,1,23.34,72.09,400,2,1,7.5
16,17,3000,2,2080,1,505137675,5.14,1,1,23.34,72.09,400,2,1,7.5
17,17,3000,2,2080,2,505161814,5.14,1,1,23.34,72.09,400,2,1,7.5
18,17,3000,2,2080,3,505164144,5.14,1,1,23.34,72.09,400,2,1,7.5
19,17,3000,2,2080,1,505166676,5.14,1,1,23.34,72.09,400,2,1,7.5
20,17,3000,2,2080,2,505193132,5.14,1,1,23.34,72.09,400,2,1,7.5
21,17,3000,2,2080,3,505197723,5.14,1,1,23.34,72.09,400,2,1,7.5
22,17,3000,2,2080,1,505200709,5.14,1,1,23.34,72.09,400,2,1,7.5
23,17,3000,2,2080,2,505222540,5.14,1,1,23.34,72.09,400,2,1,7.5
24,17,3000,2,2080,3,505226740,5.14,1,1,23.34,72.09,400,2,1,7.5
25,17,3000,2,2080,1,505229192,5.14,1,1,23.34,72.09,400,2,1,7.5
26,17,3000,2,2080,2,505253730,5.14,1,1,23.34,72.09,400,2,1,7.5
27,17,3000,2,2080,3,505259261,5.14,1,1,23.34,72.09,400,2,1,7.5
28,17,3000,2,2080,1,505262945,5.14,1,1,23.34,72.09,400,2,1,7.5
29,17,3000,2,2080,2,505284178,5.14,1,1,23.34,72.09,400,2,1,7.5
30,17,3000,2,2080,3,505288837,5.14,1,1,23.34,72.09,400,2,1,7.5
