"run","Jahr","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,16,3000,2,2080,3,555085755,5.14,1,1,23.34,72.09,400,0,1,7.5
2,16,3000,2,2080,3,555093117,5.14,1,1,23.34,72.09,400,2,1,7.5
3,16,3000,2,2080,3,555097232,5.14,1,1,23.34,72.09,400,3,1,7.5
4,16,3000,2,2080,3,555099077,5.14,1,1,23.34,72.09,400,0,1,7.5
5,16,3000,2,2080,3,555101837,5.14,1,1,23.34,72.09,400,2,1,7.5
6,16,3000,2,2080,3,555103785,5.14,1,1,23.34,72.09,400,3,1,7.5
7,16,3000,2,2080,3,555105093,5.14,1,1,23.34,72.09,400,0,1,7.5
8,16,3000,2,2080,3,555106969,5.14,1,1,23.34,72.09,400,2,1,7.5
9,16,3000,2,2080,3,555108016,5.14,1,1,23.34,72.09,400,3,1,7.5
10,16,3000,2,2080,3,555109136,5.14,1,1,23.34,72.09,400,0,1,7.5
11,16,3000,2,2080,3,555111045,5.14,1,1,23.34,72.09,400,2,1,7.5
12,16,3000,2,2080,3,555113018,5.14,1,1,23.34,72.09,400,3,1,7.5
13,16,3000,2,2080,3,555113913,5.14,1,1,23.34,72.09,400,0,1,7.5
14,16,3000,2,2080,3,555115796,5.14,1,1,23.34,72.09,400,2,1,7.5
15,16,3000,2,2080,3,555116906,5.14,1,1,23.34,72.09,400,3,1,7.5
16,16,3000,2,2080,3,555117850,5.14,1,1,23.34,72.09,400,0,1,7.5
17,16,3000,2,2080,3,555119617,5.14,1,1,23.34,72.09,400,2,1,7.5
18,16,3000,2,2080,3,555120729,5.14,1,1,23.34,72.09,400,3,1,7.5
19,16,3000,2,2080,3,555121690,5.14,1,1,23.34,72.09,400,0,1,7.5
20,16,3000,2,2080,3,555123561,5.14,1,1,23.34,72.09,400,2,1,7.5
21,16,3000,2,2080,3,555125326,5.14,1,1,23.34,72.09,400,3,1,7.5
22,16,3000,2,2080,3,555126331,5.14,1,1,23.34,72.09,400,0,1,7.5
23,16,3000,2,2080,3,555128067,5.14,1,1,23.34,72.09,400,2,1,7.5
24,16,3000,2,2080,3,555129868,5.14,1,1,23.34,72.09,400,3,1,7.5
25,16,3000,2,2080,3,555131086,5.14,1,1,23.34,72.09,400,0,1,7.5
26,16,3000,2,2080,3,555132869,5.14,1,1,23.34,72.09,400,2,1,7.5
27,16,3000,2,2080,3,555134587,5.14,1,1,23.34,72.09,400,3,1,7.5
28,16,3000,2,2080,3,555135588,5.14,1,1,23.34,72.09,400,0,1,7.5
29,16,3000,2,2080,3,555138573,5.14,1,1,23.34,72.09,400,2,1,7.5
30,16,3000,2,2080,3,555139659,5.14,1,1,23.34,72.09,400,3,1,7.5
