"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,100,2,2080,1,-1101915079,5.14,1,1,23.34,72.09,2800,0,7.5
2,100,2,2080,1,-1101867274,5.14,1,1,23.34,72.09,2800,0,7.5
3,100,2,2080,1,-1101828158,5.14,1,1,23.34,72.09,2800,0,7.5
4,100,2,2080,1,-1101791099,5.14,1,1,23.34,72.09,2800,0,7.5
5,100,2,2080,1,-1101744234,5.14,1,1,23.34,72.09,2800,0,7.5
6,100,2,2080,1,-1101707996,5.14,1,1,23.34,72.09,2800,0,7.5
7,100,2,2080,1,-1101675798,5.14,1,1,23.34,72.09,2800,0,7.5
8,100,2,2080,1,-1101640896,5.14,1,1,23.34,72.09,2800,0,7.5
9,100,2,2080,1,-1101602488,5.14,1,1,23.34,72.09,2800,0,7.5
10,100,2,2080,1,-1101561340,5.14,1,1,23.34,72.09,2800,0,7.5
