"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,100,2,2080,1,-1242110935,5.14,1,1,23.34,72.09,2800,0,7.5
2,100,2,2080,1,-1242076730,5.14,1,1,23.34,72.09,2800,0,7.5
3,100,2,2080,1,-1242042664,5.14,1,1,23.34,72.09,2800,0,7.5
4,100,2,2080,1,-1242011064,5.14,1,1,23.34,72.09,2800,0,7.5
5,100,2,2080,1,-1241978223,5.14,1,1,23.34,72.09,2800,0,7.5
6,100,2,2080,1,-1241948258,5.14,1,1,23.34,72.09,2800,0,7.5
7,100,2,2080,1,-1241925885,5.14,1,1,23.34,72.09,2800,0,7.5
8,100,2,2080,1,-1241887384,5.14,1,1,23.34,72.09,2800,0,7.5
9,100,2,2080,1,-1241862740,5.14,1,1,23.34,72.09,2800,0,7.5
10,100,2,2080,1,-1241841657,5.14,1,1,23.34,72.09,2800,0,7.5
