"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,3000,2,2080,1,-903832359,5.14,1,1,23.34,72.09,200,1,0,7.5
2,3000,2,2080,1,-903732707,5.14,1,1,23.34,72.09,200,1,0,7.5
3,3000,2,2080,1,-903635848,5.14,1,1,23.34,72.09,200,1,0,7.5
4,3000,2,2080,1,-903541851,5.14,1,1,23.34,72.09,200,1,0,7.5
5,3000,2,2080,1,-903450091,5.14,1,1,23.34,72.09,200,1,0,7.5
6,3000,2,2080,1,-903357467,5.14,1,1,23.34,72.09,200,1,0,7.5
7,3000,2,2080,1,-903263330,5.14,1,1,23.34,72.09,200,1,0,7.5
8,3000,2,2080,1,-903167085,5.14,1,1,23.34,72.09,200,1,0,7.5
9,3000,2,2080,1,-903073267,5.14,1,1,23.34,72.09,200,1,0,7.5
10,3000,2,2080,1,-902982614,5.14,1,1,23.34,72.09,200,1,0,7.5
