"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,80,2,2080,3,261747541,5.14,1,1,23.34,72.09,3000,1,0,7.5
3,80,2,2080,3,261758195,5.14,1,1,23.34,72.09,3000,1,0,7.5
5,80,2,2080,3,261764064,5.14,1,1,23.34,72.09,3000,1,0,7.5
7,80,2,2080,3,261768231,5.14,1,1,23.34,72.09,3000,1,0,7.5
9,80,2,2080,3,261771725,5.14,1,1,23.34,72.09,3000,1,0,7.5
2,80,2,2080,3,261747676,5.14,1,1,23.34,72.09,3000,1,0,7.5
4,80,2,2080,3,261758043,5.14,1,1,23.34,72.09,3000,1,0,7.5
6,80,2,2080,3,261763746,5.14,1,1,23.34,72.09,3000,1,0,7.5
8,80,2,2080,3,261768196,5.14,1,1,23.34,72.09,3000,1,0,7.5
10,80,2,2080,3,261771479,5.14,1,1,23.34,72.09,3000,1,0,7.5
