"run","Jahr","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,17,3000,2,2080,1,560781460,5.14,1,1,23.34,72.09,400,2,1,7.5
2,17,3000,2,2080,1,560800869,5.14,1,1,23.34,72.09,400,3,1,7.5
3,17,3000,2,2080,1,560817685,5.14,1,1,23.34,72.09,400,2,1,7.5
4,17,3000,2,2080,1,560833756,5.14,1,1,23.34,72.09,400,3,1,7.5
5,17,3000,2,2080,1,560848995,5.14,1,1,23.34,72.09,400,2,1,7.5
6,17,3000,2,2080,1,560866454,5.14,1,1,23.34,72.09,400,3,1,7.5
7,17,3000,2,2080,1,560880290,5.14,1,1,23.34,72.09,400,2,1,7.5
8,17,3000,2,2080,1,560896051,5.14,1,1,23.34,72.09,400,3,1,7.5
9,17,3000,2,2080,1,560910903,5.14,1,1,23.34,72.09,400,2,1,7.5
10,17,3000,2,2080,1,560928171,5.14,1,1,23.34,72.09,400,3,1,7.5
11,17,3000,2,2080,1,560944487,5.14,1,1,23.34,72.09,400,2,1,7.5
12,17,3000,2,2080,1,560960170,5.14,1,1,23.34,72.09,400,3,1,7.5
13,17,3000,2,2080,1,560974988,5.14,1,1,23.34,72.09,400,2,1,7.5
14,17,3000,2,2080,1,560990781,5.14,1,1,23.34,72.09,400,3,1,7.5
15,17,3000,2,2080,1,561006712,5.14,1,1,23.34,72.09,400,2,1,7.5
16,17,3000,2,2080,1,561028212,5.14,1,1,23.34,72.09,400,3,1,7.5
17,17,3000,2,2080,1,561053835,5.14,1,1,23.34,72.09,400,2,1,7.5
18,17,3000,2,2080,1,561118175,5.14,1,1,23.34,72.09,400,3,1,7.5
19,17,3000,2,2080,1,561174581,5.14,1,1,23.34,72.09,400,2,1,7.5
20,17,3000,2,2080,1,561253649,5.14,1,1,23.34,72.09,400,3,1,7.5
