"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,200,2,5200,3,1683839814,5.14,1,1,23.34,72.09,7500,1,0,7.5
3,200,2,5200,3,1683867005,5.14,1,1,23.34,72.09,7500,1,0,7.5
5,200,2,5200,3,1683883614,5.14,1,1,23.34,72.09,7500,1,0,7.5
7,200,2,5200,3,1683907118,5.14,1,1,23.34,72.09,7500,1,0,7.5
9,200,2,5200,3,1683928718,5.14,1,1,23.34,72.09,7500,1,0,7.5
2,200,2,5200,3,1683843131,5.14,1,1,23.34,72.09,7500,1,0,7.5
4,200,2,5200,3,1683871511,5.14,1,1,23.34,72.09,7500,1,0,7.5
6,200,2,5200,3,1683889242,5.14,1,1,23.34,72.09,7500,1,0,7.5
8,200,2,5200,3,1683911587,5.14,1,1,23.34,72.09,7500,1,0,7.5
10,200,2,5200,3,1683934422,5.14,1,1,23.34,72.09,7500,1,0,7.5
