"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,200,2,5200,2,1516495450,5.14,1,1,23.34,72.09,7500,1,0,7.5
3,200,2,5200,2,1516524334,5.14,1,1,23.34,72.09,7500,1,0,7.5
5,200,2,5200,2,1516545469,5.14,1,1,23.34,72.09,7500,1,0,7.5
7,200,2,5200,2,1516567602,5.14,1,1,23.34,72.09,7500,1,0,7.5
9,200,2,5200,2,1516593175,5.14,1,1,23.34,72.09,7500,1,0,7.5
2,200,2,5200,2,1516495559,5.14,1,1,23.34,72.09,7500,1,0,7.5
4,200,2,5200,2,1516524954,5.14,1,1,23.34,72.09,7500,1,0,7.5
6,200,2,5200,2,1516546543,5.14,1,1,23.34,72.09,7500,1,0,7.5
8,200,2,5200,2,1516568354,5.14,1,1,23.34,72.09,7500,1,0,7.5
10,200,2,5200,2,1516593345,5.14,1,1,23.34,72.09,7500,1,0,7.5
