"run","tick","IntegralBHGR","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRsicht","IntegralBHGRsicht1","IntegralBHGRsicht2","IntegralBHST","IntegralBHST1","IntegralBHST2","IntegralBHSTertrag","IntegralBHSTertrag1","IntegralBHSTertrag2","IntegralBHSTsicht","IntegralBHSTsicht1","IntegralBHSTsicht2","GRCount","GRertragCount","GRsichtCount","STCount","STertragCount","STsichtCount","Resistance","Behaviour","Jahr"
1,166.0,202.0,110.0,92.0,64.0,13.0,51.0,139.0,73.0,66.0,10374.0,4013.0,6361.0,5009.0,1458.0,3551.0,9223.0,3048.0,6175.0,1819.0,771.0,1213.0,221702.0,41305.0,157644.0,2.0,0.0,17.0
3,166.0,425.0,215.0,210.0,99.0,34.0,65.0,259.0,164.0,95.0,10303.0,4004.0,6299.0,8559.0,2750.0,5809.0,9210.0,2985.0,6225.0,3182.0,1167.0,1930.0,222233.0,109542.0,156586.0,2.0,0.0,17.0
5,166.0,244.0,149.0,95.0,60.0,8.0,52.0,169.0,89.0,80.0,10310.0,4011.0,6299.0,6201.0,2009.0,4192.0,9168.0,2993.0,6175.0,2359.0,891.0,1451.0,217231.0,54506.0,152034.0,2.0,0.0,17.0
7,166.0,395.0,238.0,157.0,102.0,37.0,65.0,266.0,171.0,95.0,10556.0,4124.0,6432.0,7960.0,2231.0,5729.0,9493.0,3072.0,6421.0,3353.0,1220.0,2138.0,421846.0,99837.0,303744.0,2.0,0.0,17.0
9,166.0,265.0,158.0,107.0,74.0,9.0,65.0,179.0,98.0,81.0,10540.0,4105.0,6435.0,7685.0,1972.0,5713.0,9465.0,3030.0,6435.0,2514.0,876.0,1485.0,423968.0,94801.0,304330.0,2.0,0.0,17.0
11,166.0,323.0,166.0,157.0,66.0,15.0,51.0,194.0,99.0,95.0,10654.0,4157.0,6497.0,8588.0,2585.0,6003.0,9495.0,3060.0,6435.0,2628.0,847.0,1522.0,429681.0,125157.0,311144.0,2.0,0.0,17.0
13,166.0,404.0,195.0,209.0,146.0,30.0,116.0,250.0,118.0,132.0,10387.0,4026.0,6361.0,8550.0,2794.0,5756.0,9259.0,3032.0,6227.0,2964.0,1248.0,1874.0,222478.0,105913.0,157120.0,2.0,0.0,17.0
15,166.0,351.0,194.0,157.0,70.0,20.0,50.0,218.0,137.0,81.0,10592.0,4157.0,6435.0,7756.0,2172.0,5584.0,9527.0,3092.0,6435.0,2887.0,860.0,1700.0,408047.0,97278.0,294093.0,2.0,0.0,17.0
17,166.0,360.0,212.0,148.0,78.0,28.0,50.0,218.0,138.0,80.0,10590.0,4155.0,6435.0,7771.0,2044.0,5727.0,9511.0,3076.0,6435.0,3005.0,925.0,1722.0,419973.0,98349.0,303943.0,2.0,0.0,17.0
19,166.0,366.0,204.0,162.0,79.0,28.0,51.0,230.0,135.0,95.0,10244.0,3951.0,6293.0,4758.0,1570.0,3188.0,9117.0,3021.0,6096.0,3060.0,850.0,1676.0,214946.0,40745.0,152655.0,2.0,0.0,17.0
