"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,500,2,2080,1,-868237954,5.14,1,1,23.34,72.09,200,2,0,7.5
2,500,2,2080,1,-868161356,5.14,1,1,23.34,72.09,200,2,0,7.5
3,500,2,2080,1,-868084173,5.14,1,1,23.34,72.09,200,2,0,7.5
4,500,2,2080,1,-868016237,5.14,1,1,23.34,72.09,200,2,0,7.5
5,500,2,2080,1,-867946966,5.14,1,1,23.34,72.09,200,2,0,7.5
6,500,2,2080,1,-867878499,5.14,1,1,23.34,72.09,200,2,0,7.5
7,500,2,2080,1,-867809228,5.14,1,1,23.34,72.09,200,2,0,7.5
8,500,2,2080,1,-867740366,5.14,1,1,23.34,72.09,200,2,0,7.5
9,500,2,2080,1,-867670147,5.14,1,1,23.34,72.09,200,2,0,7.5
10,500,2,2080,1,-867594844,5.14,1,1,23.34,72.09,200,2,0,7.5
