"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,3000,2,2080,3,-287235550,5.14,1,1,23.34,72.09,200,1,0,7.5
2,3000,2,2080,3,-287230634,5.14,1,1,23.34,72.09,200,1,0,7.5
3,3000,2,2080,3,-287226798,5.14,1,1,23.34,72.09,200,1,0,7.5
4,3000,2,2080,3,-287223690,5.14,1,1,23.34,72.09,200,1,0,7.5
5,3000,2,2080,3,-287221431,5.14,1,1,23.34,72.09,200,1,0,7.5
6,3000,2,2080,3,-287219741,5.14,1,1,23.34,72.09,200,1,0,7.5
7,3000,2,2080,3,-287217835,5.14,1,1,23.34,72.09,200,1,0,7.5
8,3000,2,2080,3,-287215752,5.14,1,1,23.34,72.09,200,1,0,7.5
9,3000,2,2080,3,-287214061,5.14,1,1,23.34,72.09,200,1,0,7.5
10,3000,2,2080,3,-287212381,5.14,1,1,23.34,72.09,200,1,0,7.5
