"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,700,2,2080,1,298681246,5.14,1,1,23.34,72.09,2500,0,1,7.5
2,700,2,2080,1,298830810,5.14,1,1,23.34,72.09,2500,0,2,7.5
3,700,2,2080,2,298961069,5.14,1,1,23.34,72.09,2500,0,1,7.5
4,700,2,2080,2,298967577,5.14,1,1,23.34,72.09,2500,0,2,7.5
5,700,2,2080,3,298973825,5.14,1,1,23.34,72.09,2500,0,1,7.5
6,700,2,2080,3,298976289,5.14,1,1,23.34,72.09,2500,0,2,7.5
7,700,2,2080,1,298978724,5.14,1,1,23.34,72.09,2500,0,1,7.5
8,700,2,2080,1,299118098,5.14,1,1,23.34,72.09,2500,0,2,7.5
9,700,2,2080,2,299244241,5.14,1,1,23.34,72.09,2500,0,1,7.5
10,700,2,2080,2,299250548,5.14,1,1,23.34,72.09,2500,0,2,7.5
11,700,2,2080,3,299256044,5.14,1,1,23.34,72.09,2500,0,1,7.5
12,700,2,2080,3,299257998,5.14,1,1,23.34,72.09,2500,0,2,7.5
13,700,2,2080,1,299259977,5.14,1,1,23.34,72.09,2500,0,1,7.5
14,700,2,2080,1,299395863,5.14,1,1,23.34,72.09,2500,0,2,7.5
15,700,2,2080,2,299513913,5.14,1,1,23.34,72.09,2500,0,1,7.5
16,700,2,2080,2,299520053,5.14,1,1,23.34,72.09,2500,0,2,7.5
17,700,2,2080,3,299525801,5.14,1,1,23.34,72.09,2500,0,1,7.5
18,700,2,2080,3,299527869,5.14,1,1,23.34,72.09,2500,0,2,7.5
19,700,2,2080,1,299529775,5.14,1,1,23.34,72.09,2500,0,1,7.5
20,700,2,2080,1,299666891,5.14,1,1,23.34,72.09,2500,0,2,7.5
21,700,2,2080,2,299787224,5.14,1,1,23.34,72.09,2500,0,1,7.5
22,700,2,2080,2,299793433,5.14,1,1,23.34,72.09,2500,0,2,7.5
23,700,2,2080,3,299799281,5.14,1,1,23.34,72.09,2500,0,1,7.5
24,700,2,2080,3,299801127,5.14,1,1,23.34,72.09,2500,0,2,7.5
25,700,2,2080,1,299803215,5.14,1,1,23.34,72.09,2500,0,1,7.5
26,700,2,2080,1,299939587,5.14,1,1,23.34,72.09,2500,0,2,7.5
27,700,2,2080,2,300057934,5.14,1,1,23.34,72.09,2500,0,1,7.5
28,700,2,2080,2,300064018,5.14,1,1,23.34,72.09,2500,0,2,7.5
29,700,2,2080,3,300069854,5.14,1,1,23.34,72.09,2500,0,1,7.5
30,700,2,2080,3,300071832,5.14,1,1,23.34,72.09,2500,0,2,7.5
31,700,2,2080,1,300073764,5.14,1,1,23.34,72.09,2500,0,1,7.5
32,700,2,2080,1,300210254,5.14,1,1,23.34,72.09,2500,0,2,7.5
33,700,2,2080,2,300329301,5.14,1,1,23.34,72.09,2500,0,1,7.5
34,700,2,2080,2,300336667,5.14,1,1,23.34,72.09,2500,0,2,7.5
35,700,2,2080,3,300342473,5.14,1,1,23.34,72.09,2500,0,1,7.5
36,700,2,2080,3,300344534,5.14,1,1,23.34,72.09,2500,0,2,7.5
37,700,2,2080,1,300346486,5.14,1,1,23.34,72.09,2500,0,1,7.5
38,700,2,2080,1,300479734,5.14,1,1,23.34,72.09,2500,0,2,7.5
39,700,2,2080,2,300596796,5.14,1,1,23.34,72.09,2500,0,1,7.5
40,700,2,2080,2,300602894,5.14,1,1,23.34,72.09,2500,0,2,7.5
41,700,2,2080,3,300608579,5.14,1,1,23.34,72.09,2500,0,1,7.5
42,700,2,2080,3,300610563,5.14,1,1,23.34,72.09,2500,0,2,7.5
43,700,2,2080,1,300612587,5.14,1,1,23.34,72.09,2500,0,1,7.5
44,700,2,2080,1,300754576,5.14,1,1,23.34,72.09,2500,0,2,7.5
45,700,2,2080,2,300875624,5.14,1,1,23.34,72.09,2500,0,1,7.5
46,700,2,2080,2,300881932,5.14,1,1,23.34,72.09,2500,0,2,7.5
47,700,2,2080,3,300887985,5.14,1,1,23.34,72.09,2500,0,1,7.5
48,700,2,2080,3,300889946,5.14,1,1,23.34,72.09,2500,0,2,7.5
49,700,2,2080,1,300891912,5.14,1,1,23.34,72.09,2500,0,1,7.5
50,700,2,2080,1,301027676,5.14,1,1,23.34,72.09,2500,0,2,7.5
51,700,2,2080,2,301146300,5.14,1,1,23.34,72.09,2500,0,1,7.5
52,700,2,2080,2,301154110,5.14,1,1,23.34,72.09,2500,0,2,7.5
53,700,2,2080,3,301160201,5.14,1,1,23.34,72.09,2500,0,1,7.5
54,700,2,2080,3,301162298,5.14,1,1,23.34,72.09,2500,0,2,7.5
55,700,2,2080,1,301164431,5.14,1,1,23.34,72.09,2500,0,1,7.5
56,700,2,2080,1,301301573,5.14,1,1,23.34,72.09,2500,0,2,7.5
57,700,2,2080,2,301425143,5.14,1,1,23.34,72.09,2500,0,1,7.5
58,700,2,2080,2,301431132,5.14,1,1,23.34,72.09,2500,0,2,7.5
59,700,2,2080,3,301436741,5.14,1,1,23.34,72.09,2500,0,1,7.5
60,700,2,2080,3,301438729,5.14,1,1,23.34,72.09,2500,0,2,7.5
