"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,80,2,2080,1,-306293802,5.14,1,1,23.34,72.09,2300,1,0,7.5
2,80,2,2080,1,-306259179,5.14,1,1,23.34,72.09,2300,1,0,7.5
3,80,2,2080,1,-306231220,5.14,1,1,23.34,72.09,2300,1,0,7.5
4,80,2,2080,1,-306204089,5.14,1,1,23.34,72.09,2300,1,0,7.5
5,80,2,2080,1,-306177367,5.14,1,1,23.34,72.09,2300,1,0,7.5
6,80,2,2080,1,-306149616,5.14,1,1,23.34,72.09,2300,1,0,7.5
7,80,2,2080,1,-306121303,5.14,1,1,23.34,72.09,2300,1,0,7.5
8,80,2,2080,1,-306095932,5.14,1,1,23.34,72.09,2300,1,0,7.5
9,80,2,2080,1,-306069534,5.14,1,1,23.34,72.09,2300,1,0,7.5
10,80,2,2080,1,-306042173,5.14,1,1,23.34,72.09,2300,1,0,7.5
