"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,80,2,2080,1,174192510,5.14,1,1,23.34,72.09,2000,1,0,7.5
2,80,2,2080,1,174233260,5.14,1,1,23.34,72.09,2000,1,0,7.5
3,80,2,2080,1,174272878,5.14,1,1,23.34,72.09,2000,1,0,7.5
4,80,2,2080,1,174302490,5.14,1,1,23.34,72.09,2000,1,0,7.5
5,80,2,2080,1,174338232,5.14,1,1,23.34,72.09,2000,1,0,7.5
6,80,2,2080,1,174376792,5.14,1,1,23.34,72.09,2000,1,0,7.5
7,80,2,2080,1,174410466,5.14,1,1,23.34,72.09,2000,1,0,7.5
8,80,2,2080,1,174438245,5.14,1,1,23.34,72.09,2000,1,0,7.5
9,80,2,2080,1,174461706,5.14,1,1,23.34,72.09,2000,1,0,7.5
10,80,2,2080,1,174485957,5.14,1,1,23.34,72.09,2000,1,0,7.5
