"run","tick","IntegralBHGR","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRsicht","IntegralBHGRsicht1","IntegralBHGRsicht2","IntegralBHST","IntegralBHST1","IntegralBHST2","IntegralBHSTertrag","IntegralBHSTertrag1","IntegralBHSTertrag2","IntegralBHSTsicht","IntegralBHSTsicht1","IntegralBHSTsicht2","GRCount","GRertragCount","GRsichtCount","STCount","STertragCount","STsichtCount","Resistance","Behaviour","Jahr","GRsichtCount2","GRCount1","GRCount2","GRertragCount1","GRertragCount2","GRsichtCount1"
1,166.0,333.0,178.0,155.0,74.0,23.0,51.0,202.0,122.0,80.0,9970.0,3863.0,6107.0,2812.0,992.0,1820.0,8929.0,2884.0,6045.0,1923.0,598.0,1260.0,155108.0,18286.0,126291.0,3.0,0.0,17.0,497.0,1058.0,865.0,236.0,362.0,763.0
2,166.0,80.0,68.0,12.0,0.0,0.0,0.0,51.0,51.0,0.0,10058.0,3889.0,6169.0,2686.0,996.0,1690.0,8992.0,2947.0,6045.0,833.0,234.0,525.0,156070.0,17043.0,126467.0,3.0,0.0,17.0,180.0,500.0,333.0,69.0,165.0,345.0
3,166.0,139.0,62.0,77.0,0.0,0.0,0.0,39.0,24.0,15.0,9983.0,3876.0,6107.0,2890.0,1070.0,1820.0,8979.0,2934.0,6045.0,1159.0,311.0,621.0,161212.0,18788.0,130862.0,3.0,0.0,17.0,323.0,506.0,653.0,64.0,247.0,298.0
4,166.0,180.0,101.0,79.0,55.0,5.0,50.0,135.0,70.0,65.0,9993.0,3883.0,6110.0,3171.0,1091.0,2080.0,9078.0,2968.0,6110.0,1529.0,444.0,929.0,158865.0,19572.0,129168.0,3.0,0.0,17.0,408.0,759.0,770.0,96.0,348.0,521.0
5,166.0,220.0,79.0,141.0,71.0,6.0,65.0,100.0,34.0,66.0,9705.0,3731.0,5974.0,3070.0,1055.0,2015.0,8668.0,2818.0,5850.0,1516.0,651.0,919.0,161768.0,19246.0,130735.0,3.0,0.0,17.0,602.0,583.0,933.0,94.0,557.0,317.0
6,166.0,289.0,133.0,156.0,73.0,8.0,65.0,161.0,81.0,80.0,9972.0,3865.0,6107.0,3042.0,1092.0,1950.0,8961.0,2916.0,6045.0,1823.0,704.0,1185.0,163137.0,18794.0,131351.0,3.0,0.0,17.0,661.0,866.0,957.0,148.0,556.0,524.0
7,166.0,241.0,150.0,91.0,28.0,28.0,0.0,130.0,113.0,17.0,9972.0,3865.0,6107.0,2837.0,952.0,1885.0,8900.0,2855.0,6045.0,1662.0,530.0,1112.0,162075.0,17950.0,130159.0,3.0,0.0,17.0,403.0,912.0,750.0,219.0,311.0,709.0
8,166.0,173.0,158.0,15.0,7.0,7.0,0.0,108.0,93.0,15.0,9981.0,3874.0,6107.0,2876.0,991.0,1885.0,8947.0,2902.0,6045.0,1044.0,202.0,743.0,158696.0,18139.0,129299.0,3.0,0.0,17.0,155.0,877.0,167.0,137.0,65.0,588.0
9,166.0,160.0,145.0,15.0,18.0,18.0,0.0,109.0,94.0,15.0,9957.0,3850.0,6107.0,2827.0,1007.0,1820.0,8899.0,2854.0,6045.0,1355.0,402.0,951.0,160732.0,17948.0,130898.0,3.0,0.0,17.0,307.0,907.0,448.0,170.0,232.0,644.0
10,166.0,108.0,90.0,18.0,26.0,26.0,0.0,83.0,68.0,15.0,10077.0,3905.0,6172.0,3019.0,1004.0,2015.0,9058.0,2948.0,6110.0,906.0,267.0,659.0,164647.0,19103.0,132751.0,3.0,0.0,17.0,220.0,590.0,316.0,167.0,100.0,439.0
