"run","tick","Ertrag","befallGR","befallGRsicht","befallGRertrag","befallST","befallSTsicht","befallSTertrag"
1,1.0,5150000.0,3.1067961165048543,0.0,0.0,30.485436893203882,0.0,0.0
1,2.0,5150000.0,3.4951456310679614,0.0,0.0,63.30097087378641,0.0,0.0
1,3.0,5150000.0,3.6893203883495143,0.0,0.0,67.57281553398057,0.0,0.0
1,4.0,5150000.0,3.6893203883495143,0.0,0.0,69.12621359223301,0.0,0.0
1,5.0,5150000.0,3.8834951456310676,0.0,0.0,70.48543689320388,0.0,0.0
1,6.0,5150000.0,3.8834951456310676,0.0,0.0,70.67961165048544,0.0,0.0
1,7.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,8.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,9.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,10.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,11.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,12.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,13.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,14.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,15.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,16.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,17.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,18.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,19.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,20.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,21.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,22.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,23.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,24.0,5150000.0,3.8834951456310676,0.0,0.0,70.87378640776699,0.0,0.0
1,25.0,5150000.0,3.8834951456310676,1.1650485436893203,1.1650485436893203,70.87378640776699,0.0,0.0
1,26.0,5150000.0,3.8834951456310676,2.1359223300970873,2.1359223300970873,70.87378640776699,0.0,0.0
1,27.0,5150000.0,3.8834951456310676,2.3300970873786406,2.3300970873786406,70.87378640776699,0.0,0.0
1,28.0,5150000.0,5.631067961165048,2.524271844660194,2.524271844660194,70.87378640776699,0.0,0.0
1,29.0,5150000.0,5.825242718446602,2.524271844660194,2.524271844660194,70.87378640776699,0.0,0.0
1,30.0,5150000.0,8.932038834951456,3.300970873786408,3.300970873786408,70.87378640776699,0.0,0.0
1,31.0,5150000.0,9.514563106796116,3.300970873786408,3.300970873786408,70.87378640776699,0.0,0.0
1,32.0,5150000.0,9.70873786407767,3.300970873786408,3.300970873786408,70.87378640776699,0.0,0.0
1,33.0,5150000.0,9.902912621359224,3.300970873786408,3.300970873786408,70.87378640776699,0.0,0.0
1,34.0,5150000.0,9.902912621359224,3.300970873786408,3.300970873786408,70.87378640776699,0.0,0.0
1,35.0,5150000.0,9.902912621359224,3.300970873786408,3.300970873786408,70.87378640776699,0.0,0.0
1,36.0,5150000.0,17.66990291262136,3.300970873786408,3.300970873786408,70.87378640776699,0.0,0.0
1,37.0,5150000.0,18.83495145631068,3.300970873786408,3.300970873786408,70.87378640776699,0.0,0.0
1,38.0,5150000.0,19.02912621359223,3.300970873786408,3.300970873786408,70.87378640776699,0.0,0.0
1,39.0,5150000.0,26.601941747572816,3.300970873786408,3.300970873786408,70.87378640776699,0.0,0.0
1,40.0,5150000.0,27.378640776699033,3.300970873786408,3.300970873786408,70.87378640776699,0.0,0.0
1,41.0,5150000.0,27.57281553398058,3.300970873786408,3.300970873786408,70.87378640776699,0.0,0.0
1,42.0,5150000.0,28.155339805825243,3.300970873786408,3.300970873786408,70.87378640776699,61.359223300970875,61.359223300970875
1,43.0,5150000.0,28.155339805825243,3.300970873786408,3.300970873786408,70.87378640776699,67.37864077669903,67.37864077669903
1,44.0,5150000.0,28.155339805825243,3.300970873786408,3.300970873786408,70.87378640776699,69.51456310679612,69.51456310679612
1,45.0,5150000.0,28.155339805825243,4.077669902912621,4.077669902912621,70.87378640776699,70.09708737864078,70.09708737864078
1,46.0,5150000.0,28.155339805825243,6.407766990291262,6.407766990291262,98.25242718446601,70.29126213592232,70.29126213592232
1,47.0,5150000.0,28.155339805825243,7.961165048543689,7.961165048543689,98.44660194174757,70.87378640776699,70.87378640776699
1,48.0,5150000.0,28.155339805825243,8.155339805825243,8.155339805825243,98.44660194174757,70.87378640776699,70.87378640776699
1,49.0,5150000.0,37.86407766990291,8.349514563106796,8.349514563106796,98.44660194174757,70.87378640776699,70.87378640776699
1,50.0,5150000.0,41.16504854368932,8.349514563106796,8.349514563106796,98.44660194174757,70.87378640776699,70.87378640776699
1,51.0,5150000.0,42.13592233009709,8.155339805825243,8.155339805825243,98.44660194174757,70.87378640776699,70.87378640776699
1,52.0,5150000.0,42.33009708737864,8.54368932038835,8.54368932038835,98.44660194174757,70.87378640776699,70.87378640776699
1,53.0,5150000.0,50.873786407766985,8.349514563106796,8.349514563106796,98.44660194174757,70.87378640776699,70.87378640776699
