"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,20,2,520,1,-1455117881,5.14,1,1,23.34,72.09,700,0,7.5
3,20,2,520,1,-1455099973,5.14,1,1,23.34,72.09,700,0,7.5
5,20,2,520,1,-1455090145,5.14,1,1,23.34,72.09,700,0,7.5
7,20,2,520,1,-1455082636,5.14,1,1,23.34,72.09,700,0,7.5
9,20,2,520,1,-1455075398,5.14,1,1,23.34,72.09,700,0,7.5
11,20,2,520,1,-1455067324,5.14,1,1,23.34,72.09,700,0,7.5
13,20,2,520,1,-1455059440,5.14,1,1,23.34,72.09,700,0,7.5
15,20,2,520,1,-1455051900,5.14,1,1,23.34,72.09,700,0,7.5
17,20,2,520,1,-1455042794,5.14,1,1,23.34,72.09,700,0,7.5
19,20,2,520,1,-1455036278,5.14,1,1,23.34,72.09,700,0,7.5
2,20,2,520,1,-1455117891,5.14,1,1,23.34,72.09,700,0,7.5
4,20,2,520,1,-1455096292,5.14,1,1,23.34,72.09,700,0,7.5
6,20,2,520,1,-1455087380,5.14,1,1,23.34,72.09,700,0,7.5
8,20,2,520,1,-1455079624,5.14,1,1,23.34,72.09,700,0,7.5
10,20,2,520,1,-1455070331,5.14,1,1,23.34,72.09,700,0,7.5
12,20,2,520,1,-1455062130,5.14,1,1,23.34,72.09,700,0,7.5
14,20,2,520,1,-1455053620,5.14,1,1,23.34,72.09,700,0,7.5
16,20,2,520,1,-1455046416,5.14,1,1,23.34,72.09,700,0,7.5
18,20,2,520,1,-1455038251,5.14,1,1,23.34,72.09,700,0,7.5
20,20,2,520,1,-1455031244,5.14,1,1,23.34,72.09,700,0,7.5
