"run","tick","IntegralBHGR","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRsicht","IntegralBHGRsicht1","IntegralBHGRsicht2","IntegralBHST","IntegralBHST1","IntegralBHST2","IntegralBHSTertrag","IntegralBHSTertrag1","IntegralBHSTertrag2","IntegralBHSTsicht","IntegralBHSTsicht1","IntegralBHSTsicht2","GRCount","GRertragCount","GRsichtCount","STCount","STertragCount","STsichtCount","Resistance","Behaviour","Jahr"
1,166.0,409.0,200.0,209.0,125.0,10.0,115.0,261.0,130.0,131.0,9734.0,3884.0,5850.0,1585.0,935.0,650.0,8935.0,3085.0,5850.0,2989.0,1081.0,1781.0,170627.0,15400.0,129112.0,2.0,0.0,17.0
3,166.0,518.0,270.0,248.0,104.0,39.0,65.0,293.0,183.0,110.0,9615.0,3833.0,5782.0,1389.0,869.0,520.0,8718.0,2998.0,5720.0,3982.0,1255.0,2261.0,160270.0,13019.0,121532.0,2.0,0.0,17.0
5,166.0,263.0,133.0,130.0,70.0,5.0,65.0,140.0,75.0,65.0,10060.0,4018.0,6042.0,1527.0,942.0,585.0,9111.0,3131.0,5980.0,2046.0,619.0,1122.0,165194.0,14227.0,124787.0,2.0,0.0,17.0
7,166.0,282.0,138.0,144.0,51.0,0.0,51.0,144.0,77.0,67.0,10051.0,4009.0,6042.0,1547.0,897.0,650.0,9087.0,3107.0,5980.0,2278.0,657.0,1194.0,166908.0,14626.0,126407.0,2.0,0.0,17.0
9,166.0,423.0,202.0,221.0,63.0,11.0,52.0,228.0,147.0,81.0,10051.0,4009.0,6042.0,1436.0,851.0,585.0,9070.0,3090.0,5980.0,3395.0,880.0,1685.0,167948.0,13526.0,126858.0,2.0,0.0,17.0
11,166.0,348.0,201.0,147.0,95.0,30.0,65.0,226.0,146.0,80.0,9649.0,3864.0,5785.0,1655.0,940.0,715.0,8813.0,3028.0,5785.0,3006.0,879.0,1682.0,169170.0,15041.0,128097.0,2.0,0.0,17.0
13,166.0,375.0,204.0,171.0,149.0,46.0,103.0,283.0,137.0,146.0,10256.0,4084.0,6172.0,1706.0,991.0,715.0,9381.0,3271.0,6110.0,3068.0,1261.0,1970.0,182884.0,16358.0,138868.0,2.0,0.0,17.0
15,166.0,315.0,171.0,144.0,76.0,11.0,65.0,176.0,110.0,66.0,9711.0,3864.0,5847.0,1563.0,848.0,715.0,8762.0,2977.0,5785.0,2767.0,1028.0,1696.0,164094.0,14076.0,122937.0,2.0,0.0,17.0
17,166.0,340.0,192.0,148.0,73.0,23.0,50.0,213.0,133.0,80.0,9906.0,3991.0,5915.0,1537.0,952.0,585.0,9052.0,3137.0,5915.0,2615.0,915.0,1664.0,170843.0,14563.0,129807.0,2.0,0.0,17.0
19,166.0,511.0,287.0,224.0,147.0,31.0,116.0,346.0,200.0,146.0,9965.0,3985.0,5980.0,1381.0,861.0,520.0,9083.0,3103.0,5980.0,4153.0,1465.0,2516.0,164579.0,13686.0,125415.0,2.0,0.0,17.0
21,166.0,406.0,244.0,162.0,104.0,52.0,52.0,276.0,181.0,95.0,9787.0,3875.0,5912.0,1525.0,875.0,650.0,8880.0,3030.0,5850.0,3631.0,1270.0,2278.0,162705.0,13933.0,122610.0,2.0,0.0,17.0
23,166.0,384.0,166.0,218.0,79.0,28.0,51.0,195.0,113.0,82.0,9929.0,3952.0,5977.0,1576.0,861.0,715.0,8946.0,3031.0,5915.0,2925.0,812.0,1503.0,166397.0,14646.0,126401.0,2.0,0.0,17.0
25,166.0,248.0,171.0,77.0,20.0,20.0,0.0,141.0,126.0,15.0,9965.0,3985.0,5980.0,1638.0,923.0,715.0,9097.0,3117.0,5980.0,2284.0,642.0,1358.0,168879.0,14953.0,128511.0,2.0,0.0,17.0
27,166.0,385.0,229.0,156.0,94.0,29.0,65.0,225.0,145.0,80.0,9735.0,3888.0,5847.0,1453.0,868.0,585.0,8770.0,2985.0,5785.0,3081.0,967.0,1789.0,167631.0,13620.0,126742.0,2.0,0.0,17.0
29,166.0,632.0,280.0,352.0,208.0,41.0,167.0,409.0,184.0,225.0,9867.0,3952.0,5915.0,1543.0,893.0,650.0,9014.0,3099.0,5915.0,4320.0,1590.0,2619.0,165960.0,14232.0,125563.0,2.0,0.0,17.0
31,166.0,409.0,188.0,221.0,90.0,25.0,65.0,203.0,123.0,80.0,9833.0,3921.0,5912.0,1336.0,881.0,455.0,8933.0,3083.0,5850.0,3472.0,1029.0,1847.0,167588.0,13230.0,126849.0,2.0,0.0,17.0
33,166.0,333.0,177.0,156.0,82.0,17.0,65.0,192.0,112.0,80.0,10001.0,3959.0,6042.0,1377.0,857.0,520.0,9036.0,3056.0,5980.0,2689.0,1117.0,1714.0,170618.0,13502.0,128532.0,2.0,0.0,17.0
35,166.0,487.0,259.0,228.0,143.0,28.0,115.0,317.0,170.0,147.0,10075.0,4033.0,6042.0,1431.0,911.0,520.0,9103.0,3123.0,5980.0,3521.0,1261.0,2161.0,168517.0,14033.0,128169.0,2.0,0.0,17.0
37,166.0,326.0,171.0,155.0,93.0,28.0,65.0,208.0,128.0,80.0,10051.0,4009.0,6042.0,1518.0,933.0,585.0,9078.0,3098.0,5980.0,2782.0,1054.0,1692.0,174731.0,14424.0,132292.0,2.0,0.0,17.0
39,166.0,455.0,234.0,221.0,101.0,36.0,65.0,263.0,168.0,95.0,9602.0,3820.0,5782.0,1423.0,838.0,585.0,8671.0,2951.0,5720.0,3472.0,1179.0,2020.0,161063.0,13889.0,122059.0,2.0,0.0,17.0
41,166.0,222.0,142.0,80.0,56.0,5.0,51.0,156.0,89.0,67.0,9735.0,3888.0,5847.0,1678.0,898.0,780.0,8798.0,3013.0,5785.0,2096.0,688.0,1240.0,167916.0,15143.0,126815.0,2.0,0.0,17.0
43,166.0,252.0,158.0,94.0,20.0,20.0,0.0,154.0,124.0,30.0,9942.0,3965.0,5977.0,1521.0,936.0,585.0,9042.0,3127.0,5915.0,2406.0,729.0,1348.0,172775.0,14543.0,130895.0,2.0,0.0,17.0
45,166.0,460.0,236.0,224.0,154.0,37.0,117.0,321.0,174.0,147.0,10004.0,3965.0,6039.0,1599.0,884.0,715.0,8990.0,3075.0,5915.0,3638.0,1343.0,2274.0,170770.0,14128.0,128652.0,2.0,0.0,17.0
47,166.0,371.0,214.0,157.0,10.0,10.0,0.0,176.0,146.0,30.0,9615.0,3833.0,5782.0,1394.0,874.0,520.0,8704.0,2984.0,5720.0,2911.0,695.0,1532.0,161723.0,13901.0,121568.0,2.0,0.0,17.0
49,166.0,320.0,172.0,148.0,56.0,6.0,50.0,202.0,122.0,80.0,9711.0,3864.0,5847.0,1712.0,997.0,715.0,8850.0,3065.0,5785.0,2586.0,649.0,1418.0,165950.0,16472.0,126414.0,2.0,0.0,17.0
2,166.0,284.0,151.0,133.0,69.0,4.0,65.0,148.0,82.0,66.0,9735.0,3888.0,5847.0,1565.0,915.0,650.0,8861.0,3076.0,5785.0,2364.0,750.0,1315.0,169890.0,14665.0,128472.0,2.0,0.0,17.0
4,166.0,274.0,127.0,147.0,68.0,18.0,50.0,157.0,91.0,66.0,9920.0,3943.0,5977.0,1730.0,885.0,845.0,8983.0,3068.0,5915.0,2344.0,735.0,1239.0,169335.0,15226.0,128162.0,2.0,0.0,17.0
6,166.0,209.0,127.0,82.0,56.0,5.0,51.0,133.0,81.0,52.0,9625.0,3840.0,5785.0,1415.0,895.0,520.0,8766.0,2981.0,5785.0,1859.0,636.0,1092.0,163011.0,13689.0,123479.0,2.0,0.0,17.0
8,166.0,294.0,211.0,83.0,24.0,24.0,0.0,167.0,137.0,30.0,9760.0,3910.0,5850.0,1499.0,914.0,585.0,8942.0,3092.0,5850.0,2520.0,815.0,1586.0,173853.0,14237.0,131376.0,2.0,0.0,17.0
10,166.0,395.0,239.0,156.0,91.0,26.0,65.0,257.0,162.0,95.0,10053.0,4011.0,6042.0,1515.0,930.0,585.0,9109.0,3129.0,5980.0,3654.0,1213.0,2171.0,172141.0,14645.0,130761.0,2.0,0.0,17.0
12,166.0,432.0,261.0,171.0,78.0,26.0,52.0,256.0,160.0,96.0,9743.0,3893.0,5850.0,1426.0,841.0,585.0,8887.0,3037.0,5850.0,3294.0,832.0,1793.0,167343.0,13993.0,126048.0,2.0,0.0,17.0
