"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,700,2,2080,2,-1479443177,5.14,1,1,23.34,72.09,200,2,0,7.5
3,700,2,2080,2,-1479434580,5.14,1,1,23.34,72.09,200,2,0,7.5
5,700,2,2080,2,-1479429919,5.14,1,1,23.34,72.09,200,2,0,7.5
7,700,2,2080,2,-1479426333,5.14,1,1,23.34,72.09,200,2,0,7.5
9,700,2,2080,2,-1479422897,5.14,1,1,23.34,72.09,200,2,0,7.5
2,700,2,2080,2,-1479443102,5.14,1,1,23.34,72.09,200,2,0,7.5
4,700,2,2080,2,-1479433481,5.14,1,1,23.34,72.09,200,2,0,7.5
6,700,2,2080,2,-1479429158,5.14,1,1,23.34,72.09,200,2,0,7.5
8,700,2,2080,2,-1479425259,5.14,1,1,23.34,72.09,200,2,0,7.5
10,700,2,2080,2,-1479421851,5.14,1,1,23.34,72.09,200,2,0,7.5
