"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,3000,2,2080,1,398195473,5.14,1,1,23.34,72.09,400,3,1,7.5
2,3000,2,2080,1,398237974,5.14,1,1,23.34,72.09,400,3,1,7.5
3,3000,2,2080,1,398277019,5.14,1,1,23.34,72.09,400,3,1,7.5
4,3000,2,2080,1,398318062,5.14,1,1,23.34,72.09,400,3,1,7.5
5,3000,2,2080,1,398357223,5.14,1,1,23.34,72.09,400,3,1,7.5
6,3000,2,2080,1,398397040,5.14,1,1,23.34,72.09,400,3,1,7.5
7,3000,2,2080,1,398434408,5.14,1,1,23.34,72.09,400,3,1,7.5
8,3000,2,2080,1,398472493,5.14,1,1,23.34,72.09,400,3,1,7.5
9,3000,2,2080,1,398511226,5.14,1,1,23.34,72.09,400,3,1,7.5
10,3000,2,2080,1,398548002,5.14,1,1,23.34,72.09,400,3,1,7.5
