"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,200,2,5200,2,1445386606,5.14,1,1,23.34,72.09,7500,1,0,7.5
3,200,2,5200,2,1445408797,5.14,1,1,23.34,72.09,7500,1,0,7.5
5,200,2,5200,2,1445423511,5.14,1,1,23.34,72.09,7500,1,0,7.5
7,200,2,5200,2,1445436056,5.14,1,1,23.34,72.09,7500,1,0,7.5
9,200,2,5200,2,1445448085,5.14,1,1,23.34,72.09,7500,1,0,7.5
2,200,2,5200,2,1445386887,5.14,1,1,23.34,72.09,7500,1,0,7.5
4,200,2,5200,2,1445408763,5.14,1,1,23.34,72.09,7500,1,0,7.5
6,200,2,5200,2,1445423408,5.14,1,1,23.34,72.09,7500,1,0,7.5
8,200,2,5200,2,1445436161,5.14,1,1,23.34,72.09,7500,1,0,7.5
10,200,2,5200,2,1445450044,5.14,1,1,23.34,72.09,7500,1,0,7.5
