"run","Jahr","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,17,3000,2,2080,2,561708448,5.14,1,1,23.34,72.09,400,0,1,7.5
2,17,3000,2,2080,2,561719146,5.14,1,1,23.34,72.09,400,2,1,7.5
3,17,3000,2,2080,2,561723259,5.14,1,1,23.34,72.09,400,3,1,7.5
4,17,3000,2,2080,3,561726933,5.14,1,1,23.34,72.09,400,0,1,7.5
5,17,3000,2,2080,3,561730029,5.14,1,1,23.34,72.09,400,2,1,7.5
6,17,3000,2,2080,3,561732199,5.14,1,1,23.34,72.09,400,3,1,7.5
7,17,3000,2,2080,2,561734634,5.14,1,1,23.34,72.09,400,0,1,7.5
8,17,3000,2,2080,2,561738322,5.14,1,1,23.34,72.09,400,2,1,7.5
9,17,3000,2,2080,2,561741814,5.14,1,1,23.34,72.09,400,3,1,7.5
10,17,3000,2,2080,3,561746097,5.14,1,1,23.34,72.09,400,0,1,7.5
11,17,3000,2,2080,3,561748988,5.14,1,1,23.34,72.09,400,2,1,7.5
12,17,3000,2,2080,3,561751073,5.14,1,1,23.34,72.09,400,3,1,7.5
13,17,3000,2,2080,2,561752792,5.14,1,1,23.34,72.09,400,0,1,7.5
14,17,3000,2,2080,2,561757182,5.14,1,1,23.34,72.09,400,2,1,7.5
15,17,3000,2,2080,2,561760359,5.14,1,1,23.34,72.09,400,3,1,7.5
16,17,3000,2,2080,3,561762504,5.14,1,1,23.34,72.09,400,0,1,7.5
17,17,3000,2,2080,3,561765123,5.14,1,1,23.34,72.09,400,2,1,7.5
18,17,3000,2,2080,3,561767623,5.14,1,1,23.34,72.09,400,3,1,7.5
19,17,3000,2,2080,2,561769427,5.14,1,1,23.34,72.09,400,0,1,7.5
20,17,3000,2,2080,2,561773459,5.14,1,1,23.34,72.09,400,2,1,7.5
21,17,3000,2,2080,2,561777538,5.14,1,1,23.34,72.09,400,3,1,7.5
22,17,3000,2,2080,3,561780461,5.14,1,1,23.34,72.09,400,0,1,7.5
23,17,3000,2,2080,3,561783531,5.14,1,1,23.34,72.09,400,2,1,7.5
24,17,3000,2,2080,3,561785309,5.14,1,1,23.34,72.09,400,3,1,7.5
25,17,3000,2,2080,2,561787167,5.14,1,1,23.34,72.09,400,0,1,7.5
26,17,3000,2,2080,2,561791317,5.14,1,1,23.34,72.09,400,2,1,7.5
27,17,3000,2,2080,2,561794539,5.14,1,1,23.34,72.09,400,3,1,7.5
28,17,3000,2,2080,3,561796507,5.14,1,1,23.34,72.09,400,0,1,7.5
29,17,3000,2,2080,3,561799231,5.14,1,1,23.34,72.09,400,2,1,7.5
30,17,3000,2,2080,3,561801531,5.14,1,1,23.34,72.09,400,3,1,7.5
31,17,3000,2,2080,2,561803323,5.14,1,1,23.34,72.09,400,0,1,7.5
32,17,3000,2,2080,2,561807459,5.14,1,1,23.34,72.09,400,2,1,7.5
33,17,3000,2,2080,2,561810766,5.14,1,1,23.34,72.09,400,3,1,7.5
34,17,3000,2,2080,3,561813075,5.14,1,1,23.34,72.09,400,0,1,7.5
35,17,3000,2,2080,3,561815733,5.14,1,1,23.34,72.09,400,2,1,7.5
36,17,3000,2,2080,3,561817620,5.14,1,1,23.34,72.09,400,3,1,7.5
37,17,3000,2,2080,2,561819594,5.14,1,1,23.34,72.09,400,0,1,7.5
38,17,3000,2,2080,2,561823923,5.14,1,1,23.34,72.09,400,2,1,7.5
39,17,3000,2,2080,2,561827032,5.14,1,1,23.34,72.09,400,3,1,7.5
40,17,3000,2,2080,3,561830202,5.14,1,1,23.34,72.09,400,0,1,7.5
41,17,3000,2,2080,3,561833441,5.14,1,1,23.34,72.09,400,2,1,7.5
42,17,3000,2,2080,3,561835459,5.14,1,1,23.34,72.09,400,3,1,7.5
43,17,3000,2,2080,2,561837095,5.14,1,1,23.34,72.09,400,0,1,7.5
44,17,3000,2,2080,2,561842707,5.14,1,1,23.34,72.09,400,2,1,7.5
45,17,3000,2,2080,2,561846674,5.14,1,1,23.34,72.09,400,3,1,7.5
46,17,3000,2,2080,3,561850086,5.14,1,1,23.34,72.09,400,0,1,7.5
47,17,3000,2,2080,3,561853251,5.14,1,1,23.34,72.09,400,2,1,7.5
48,17,3000,2,2080,3,561855588,5.14,1,1,23.34,72.09,400,3,1,7.5
49,17,3000,2,2080,2,561857330,5.14,1,1,23.34,72.09,400,0,1,7.5
50,17,3000,2,2080,2,561862505,5.14,1,1,23.34,72.09,400,2,1,7.5
51,17,3000,2,2080,2,561865640,5.14,1,1,23.34,72.09,400,3,1,7.5
52,17,3000,2,2080,3,561869236,5.14,1,1,23.34,72.09,400,0,1,7.5
53,17,3000,2,2080,3,561871999,5.14,1,1,23.34,72.09,400,2,1,7.5
54,17,3000,2,2080,3,561874241,5.14,1,1,23.34,72.09,400,3,1,7.5
55,17,3000,2,2080,2,561876031,5.14,1,1,23.34,72.09,400,0,1,7.5
56,17,3000,2,2080,2,561881162,5.14,1,1,23.34,72.09,400,2,1,7.5
57,17,3000,2,2080,2,561885412,5.14,1,1,23.34,72.09,400,3,1,7.5
58,17,3000,2,2080,3,561889036,5.14,1,1,23.34,72.09,400,0,1,7.5
59,17,3000,2,2080,3,561891548,5.14,1,1,23.34,72.09,400,2,1,7.5
60,17,3000,2,2080,3,561893833,5.14,1,1,23.34,72.09,400,3,1,7.5
