"run","Jahr","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,17,3000,2,2080,1,502083751,5.14,1,1,23.34,72.09,400,0,1,7.5
2,17,3000,2,2080,2,502122470,5.14,1,1,23.34,72.09,400,0,1,7.5
3,17,3000,2,2080,3,502128222,5.14,1,1,23.34,72.09,400,0,1,7.5
4,17,3000,2,2080,1,502130755,5.14,1,1,23.34,72.09,400,0,1,7.5
5,17,3000,2,2080,2,502164123,5.14,1,1,23.34,72.09,400,0,1,7.5
6,17,3000,2,2080,3,502167732,5.14,1,1,23.34,72.09,400,0,1,7.5
7,17,3000,2,2080,1,502170334,5.14,1,1,23.34,72.09,400,0,1,7.5
8,17,3000,2,2080,2,502204557,5.14,1,1,23.34,72.09,400,0,1,7.5
9,17,3000,2,2080,3,502208049,5.14,1,1,23.34,72.09,400,0,1,7.5
10,17,3000,2,2080,1,502209842,5.14,1,1,23.34,72.09,400,0,1,7.5
11,17,3000,2,2080,2,502243214,5.14,1,1,23.34,72.09,400,0,1,7.5
12,17,3000,2,2080,3,502247292,5.14,1,1,23.34,72.09,400,0,1,7.5
13,17,3000,2,2080,1,502249315,5.14,1,1,23.34,72.09,400,0,1,7.5
14,17,3000,2,2080,2,502282416,5.14,1,1,23.34,72.09,400,0,1,7.5
15,17,3000,2,2080,3,502285720,5.14,1,1,23.34,72.09,400,0,1,7.5
16,17,3000,2,2080,1,502287853,5.14,1,1,23.34,72.09,400,0,1,7.5
17,17,3000,2,2080,2,502320899,5.14,1,1,23.34,72.09,400,0,1,7.5
18,17,3000,2,2080,3,502324197,5.14,1,1,23.34,72.09,400,0,1,7.5
19,17,3000,2,2080,1,502325967,5.14,1,1,23.34,72.09,400,0,1,7.5
20,17,3000,2,2080,2,502358385,5.14,1,1,23.34,72.09,400,0,1,7.5
21,17,3000,2,2080,3,502361701,5.14,1,1,23.34,72.09,400,0,1,7.5
22,17,3000,2,2080,1,502363507,5.14,1,1,23.34,72.09,400,0,1,7.5
23,17,3000,2,2080,2,502396847,5.14,1,1,23.34,72.09,400,0,1,7.5
24,17,3000,2,2080,3,502400100,5.14,1,1,23.34,72.09,400,0,1,7.5
25,17,3000,2,2080,1,502402095,5.14,1,1,23.34,72.09,400,0,1,7.5
26,17,3000,2,2080,2,502436016,5.14,1,1,23.34,72.09,400,0,1,7.5
27,17,3000,2,2080,3,502439482,5.14,1,1,23.34,72.09,400,0,1,7.5
28,17,3000,2,2080,1,502441202,5.14,1,1,23.34,72.09,400,0,1,7.5
29,17,3000,2,2080,2,502476767,5.14,1,1,23.34,72.09,400,0,1,7.5
30,17,3000,2,2080,3,502480047,5.14,1,1,23.34,72.09,400,0,1,7.5
