"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,700,2,2080,3,-282468085,5.14,1,1,23.34,72.09,300,1,0,7.5
3,700,2,2080,3,-282460690,5.14,1,1,23.34,72.09,300,1,0,7.5
5,700,2,2080,3,-282457145,5.14,1,1,23.34,72.09,300,1,0,7.5
7,700,2,2080,3,-282454371,5.14,1,1,23.34,72.09,300,1,0,7.5
9,700,2,2080,3,-282452448,5.14,1,1,23.34,72.09,300,1,0,7.5
2,700,2,2080,3,-282467955,5.14,1,1,23.34,72.09,300,1,0,7.5
4,700,2,2080,3,-282459391,5.14,1,1,23.34,72.09,300,1,0,7.5
6,700,2,2080,3,-282455885,5.14,1,1,23.34,72.09,300,1,0,7.5
8,700,2,2080,3,-282453448,5.14,1,1,23.34,72.09,300,1,0,7.5
10,700,2,2080,3,-282450992,5.14,1,1,23.34,72.09,300,1,0,7.5
