"run","tick","IntegralBHGR","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRsicht","IntegralBHGRsicht1","IntegralBHGRsicht2","IntegralBHST","IntegralBHST1","IntegralBHST2","IntegralBHSTertrag","IntegralBHSTertrag1","IntegralBHSTertrag2","IntegralBHSTsicht","IntegralBHSTsicht1","IntegralBHSTsicht2","GRCount","GRertragCount","GRsichtCount","STCount","STertragCount","STsichtCount","Resistance","Behaviour","Jahr"
1,166.0,7684.0,2208.0,5476.0,5143.0,690.0,4453.0,5973.0,1390.0,4583.0,10887.0,4387.0,6500.0,9495.0,3086.0,6409.0,10220.0,3720.0,6500.0,305742.0,113241.0,131489.0,1064231.0,235019.0,686423.0,1.0,0.0,17.0
2,166.0,402.0,181.0,221.0,154.0,38.0,116.0,271.0,125.0,146.0,10641.0,4144.0,6497.0,7842.0,2178.0,5664.0,9523.0,3088.0,6435.0,3011.0,1376.0,1969.0,390511.0,93172.0,280476.0,2.0,0.0,17.0
3,166.0,117.0,102.0,15.0,4.0,4.0,0.0,75.0,60.0,15.0,5235.0,1808.0,3427.0,1582.0,716.0,866.0,4519.0,1414.0,3105.0,1203.0,307.0,693.0,53410.0,13420.0,39424.0,3.0,0.0,17.0
4,166.0,7170.0,2105.0,5065.0,4668.0,667.0,4001.0,5484.0,1356.0,4128.0,10885.0,4385.0,6500.0,9537.0,3129.0,6408.0,10169.0,3669.0,6500.0,444414.0,121774.0,141820.0,1052913.0,235187.0,682956.0,1.0,0.0,17.0
5,166.0,315.0,159.0,156.0,26.0,26.0,0.0,126.0,96.0,30.0,10372.0,4011.0,6361.0,8313.0,2752.0,5561.0,9274.0,3048.0,6226.0,2429.0,624.0,1241.0,213443.0,101967.0,151695.0,2.0,0.0,17.0
6,166.0,227.0,135.0,92.0,15.0,15.0,0.0,122.0,92.0,30.0,5446.0,1830.0,3616.0,1489.0,506.0,983.0,4729.0,1458.0,3271.0,1864.0,568.0,1141.0,49705.0,12439.0,37575.0,3.0,0.0,17.0
7,166.0,7278.0,2069.0,5209.0,4901.0,685.0,4216.0,5635.0,1318.0,4317.0,10887.0,4387.0,6500.0,10125.0,3638.0,6487.0,10163.0,3663.0,6500.0,400557.0,123330.0,142977.0,1020790.0,463447.0,660277.0,1.0,0.0,17.0
8,166.0,277.0,171.0,106.0,80.0,29.0,51.0,199.0,119.0,80.0,10545.0,4113.0,6432.0,7350.0,1960.0,5390.0,9479.0,3058.0,6421.0,2434.0,794.0,1403.0,393880.0,89138.0,285415.0,2.0,0.0,17.0
9,166.0,200.0,117.0,83.0,72.0,7.0,65.0,165.0,85.0,80.0,6222.0,2148.0,4074.0,1454.0,535.0,919.0,5432.0,1691.0,3741.0,2030.0,876.0,1337.0,57274.0,12386.0,42756.0,3.0,0.0,17.0
10,166.0,7697.0,2278.0,5419.0,5422.0,749.0,4673.0,6266.0,1455.0,4811.0,10885.0,4385.0,6500.0,9491.0,3096.0,6395.0,10175.0,3675.0,6500.0,284732.0,133210.0,153287.0,1037673.0,225914.0,672148.0,1.0,0.0,17.0
11,166.0,429.0,158.0,271.0,123.0,8.0,115.0,225.0,94.0,131.0,10639.0,4142.0,6497.0,8335.0,2476.0,5859.0,9462.0,3027.0,6435.0,2953.0,1078.0,1621.0,387620.0,111278.0,279235.0,2.0,0.0,17.0
12,166.0,279.0,134.0,145.0,138.0,22.0,116.0,222.0,91.0,131.0,5658.0,1912.0,3746.0,1448.0,502.0,946.0,4915.0,1511.0,3404.0,2425.0,1084.0,1614.0,51447.0,11799.0,38392.0,3.0,0.0,17.0
