"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,20,2,520,1,-1587492478,5.14,1,1,23.34,72.09,700,0,7.5
2,20,2,520,1,-1587482266,5.14,1,1,23.34,72.09,700,0,7.5
3,20,2,520,1,-1587477378,5.14,1,1,23.34,72.09,700,0,7.5
4,20,2,520,1,-1587473139,5.14,1,1,23.34,72.09,700,0,7.5
5,20,2,520,1,-1587468650,5.14,1,1,23.34,72.09,700,0,7.5
6,20,2,520,1,-1587464698,5.14,1,1,23.34,72.09,700,0,7.5
7,20,2,520,1,-1587460570,5.14,1,1,23.34,72.09,700,0,7.5
8,20,2,520,1,-1587456710,5.14,1,1,23.34,72.09,700,0,7.5
9,20,2,520,1,-1587452929,5.14,1,1,23.34,72.09,700,0,7.5
10,20,2,520,1,-1587447077,5.14,1,1,23.34,72.09,700,0,7.5
11,20,2,520,1,-1587443344,5.14,1,1,23.34,72.09,700,0,7.5
12,20,2,520,1,-1587437452,5.14,1,1,23.34,72.09,700,0,7.5
13,20,2,520,1,-1587433524,5.14,1,1,23.34,72.09,700,0,7.5
14,20,2,520,1,-1587428913,5.14,1,1,23.34,72.09,700,0,7.5
15,20,2,520,1,-1587424811,5.14,1,1,23.34,72.09,700,0,7.5
16,20,2,520,1,-1587420678,5.14,1,1,23.34,72.09,700,0,7.5
17,20,2,520,1,-1587416714,5.14,1,1,23.34,72.09,700,0,7.5
18,20,2,520,1,-1587412715,5.14,1,1,23.34,72.09,700,0,7.5
19,20,2,520,1,-1587408559,5.14,1,1,23.34,72.09,700,0,7.5
20,20,2,520,1,-1587404672,5.14,1,1,23.34,72.09,700,0,7.5
