"run","tick","IntegralBHGR","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRsicht","IntegralBHGRsicht1","IntegralBHGRsicht2","IntegralBHST","IntegralBHST1","IntegralBHST2","IntegralBHSTertrag","IntegralBHSTertrag1","IntegralBHSTertrag2","IntegralBHSTsicht","IntegralBHSTsicht1","IntegralBHSTsicht2","GRCount","GRertragCount","GRsichtCount","STCount","STertragCount","STsichtCount","Resistance","Behaviour","Jahr","GRsichtCount2","GRCount1","GRCount2","GRertragCount1","GRertragCount2","GRsichtCount1"
1,166.0,6708.0,1834.0,4874.0,4413.0,599.0,3814.0,5094.0,1165.0,3929.0,10900.0,4400.0,6500.0,7178.0,2108.0,5070.0,10644.0,4144.0,6500.0,3545206.0,993720.0,1152756.0,8528437.0,772952.0,6795688.0,1.0,0.0,17.0,997163.0,357195.0,3188011.0,51130.0,942590.0,155593.0
2,166.0,6782.0,1845.0,4937.0,4393.0,578.0,3815.0,5117.0,1173.0,3944.0,10900.0,4400.0,6500.0,7195.0,2125.0,5070.0,10656.0,4156.0,6500.0,3333515.0,933859.0,1086671.0,8595206.0,779572.0,6826192.0,1.0,0.0,17.0,938108.0,339604.0,2993911.0,47377.0,886482.0,148563.0
3,166.0,6591.0,1782.0,4809.0,4308.0,559.0,3749.0,5003.0,1139.0,3864.0,10900.0,4400.0,6500.0,7268.0,2133.0,5135.0,10648.0,4148.0,6500.0,3294209.0,916197.0,1066265.0,8628184.0,801574.0,6866201.0,1.0,0.0,17.0,921229.0,332747.0,2961462.0,46694.0,869503.0,145036.0
4,166.0,6619.0,1801.0,4818.0,4287.0,574.0,3713.0,4964.0,1151.0,3813.0,10900.0,4400.0,6500.0,7249.0,2115.0,5134.0,10650.0,4150.0,6500.0,3428083.0,959773.0,1114821.0,8527867.0,769127.0,6800686.0,1.0,0.0,17.0,963181.0,348128.0,3079955.0,49012.0,910761.0,151640.0
5,166.0,6471.0,1792.0,4679.0,4221.0,572.0,3649.0,4917.0,1154.0,3763.0,10876.0,4376.0,6500.0,7167.0,2097.0,5070.0,10623.0,4123.0,6500.0,3284776.0,910487.0,1059397.0,8596672.0,779872.0,6843669.0,1.0,0.0,17.0,915036.0,330913.0,2953863.0,46548.0,863939.0,144361.0
6,166.0,6714.0,1789.0,4925.0,4360.0,560.0,3800.0,5050.0,1135.0,3915.0,10876.0,4376.0,6500.0,7267.0,2132.0,5135.0,10635.0,4135.0,6500.0,3203834.0,898757.0,1044585.0,8571052.0,790780.0,6812891.0,1.0,0.0,17.0,902691.0,323651.0,2880183.0,45914.0,852843.0,141894.0
7,166.0,6651.0,1838.0,4813.0,4332.0,582.0,3750.0,5042.0,1163.0,3879.0,10876.0,4376.0,6500.0,7250.0,2115.0,5135.0,10633.0,4133.0,6500.0,3481430.0,967525.0,1127103.0,8557105.0,777818.0,6802206.0,1.0,0.0,17.0,973192.0,353865.0,3127565.0,49217.0,918308.0,153911.0
8,166.0,6652.0,1778.0,4874.0,4322.0,573.0,3749.0,5005.0,1141.0,3864.0,10900.0,4400.0,6500.0,7254.0,2119.0,5135.0,10649.0,4149.0,6500.0,3420651.0,957977.0,1112877.0,8578371.0,787395.0,6823279.0,1.0,0.0,17.0,961005.0,347026.0,3073625.0,49528.0,908449.0,151872.0
9,166.0,6859.0,1858.0,5001.0,4453.0,587.0,3866.0,5172.0,1178.0,3994.0,10885.0,4385.0,6500.0,7189.0,2119.0,5070.0,10643.0,4143.0,6500.0,3450405.0,969198.0,1126500.0,8564329.0,788384.0,6812005.0,1.0,0.0,17.0,973828.0,350550.0,3099855.0,48629.0,920569.0,152672.0
10,166.0,6696.0,1822.0,4874.0,4316.0,566.0,3750.0,5035.0,1157.0,3878.0,10900.0,4400.0,6500.0,7268.0,2133.0,5135.0,10649.0,4149.0,6500.0,3398907.0,958803.0,1112285.0,8630172.0,788090.0,6861253.0,1.0,0.0,17.0,963003.0,342888.0,3056019.0,48084.0,910719.0,149282.0
