"run","tick","IntegralBHGR","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRsicht","IntegralBHGRsicht1","IntegralBHGRsicht2","IntegralBHST","IntegralBHST1","IntegralBHST2","IntegralBHSTertrag","IntegralBHSTertrag1","IntegralBHSTertrag2","IntegralBHSTsicht","IntegralBHSTsicht1","IntegralBHSTsicht2","GRCount","GRertragCount","GRsichtCount","STCount","STertragCount","STsichtCount","Resistance","Behaviour","Jahr"
1,166.0,298.0,186.0,112.0,30.0,30.0,0.0,169.0,124.0,45.0,9893.0,3848.0,6045.0,2497.0,937.0,1560.0,8900.0,2855.0,6045.0,2363.0,718.0,1449.0,164029.0,19931.0,127041.0,3.0,0.0,17.0
2,166.0,217.0,190.0,27.0,24.0,24.0,0.0,150.0,135.0,15.0,9846.0,3804.0,6042.0,2664.0,974.0,1690.0,8868.0,2888.0,5980.0,2253.0,654.0,1416.0,167897.0,22131.0,129687.0,3.0,0.0,17.0
3,166.0,95.0,80.0,15.0,4.0,4.0,0.0,59.0,59.0,0.0,9810.0,3830.0,5980.0,2837.0,1017.0,1820.0,8859.0,2879.0,5980.0,1403.0,669.0,1005.0,171216.0,22646.0,132889.0,3.0,0.0,17.0
4,166.0,251.0,154.0,97.0,73.0,22.0,51.0,172.0,92.0,80.0,9943.0,3898.0,6045.0,2816.0,1061.0,1755.0,9025.0,2980.0,6045.0,2113.0,691.0,1225.0,173538.0,22281.0,134739.0,3.0,0.0,17.0
5,166.0,67.0,55.0,12.0,0.0,0.0,0.0,32.0,32.0,0.0,9693.0,3781.0,5912.0,2671.0,1046.0,1625.0,8699.0,2849.0,5850.0,1020.0,352.0,576.0,164092.0,21124.0,126937.0,3.0,0.0,17.0
6,166.0,211.0,128.0,83.0,24.0,24.0,0.0,107.0,91.0,16.0,9774.0,3797.0,5977.0,2750.0,995.0,1755.0,8764.0,2849.0,5915.0,1780.0,433.0,975.0,167583.0,22578.0,129570.0,3.0,0.0,17.0
7,166.0,85.0,70.0,15.0,1.0,1.0,0.0,60.0,45.0,15.0,9774.0,3797.0,5977.0,2810.0,990.0,1820.0,8785.0,2870.0,5915.0,1194.0,351.0,678.0,174434.0,22165.0,135206.0,3.0,0.0,17.0
8,166.0,194.0,114.0,80.0,58.0,7.0,51.0,140.0,73.0,67.0,9680.0,3768.0,5912.0,2881.0,996.0,1885.0,8672.0,2822.0,5850.0,2066.0,754.0,1211.0,181252.0,22773.0,139725.0,3.0,0.0,17.0
9,166.0,207.0,127.0,80.0,58.0,7.0,51.0,147.0,81.0,66.0,8986.0,3591.0,5395.0,965.0,705.0,260.0,8215.0,2820.0,5395.0,1901.0,650.0,1130.0,118501.0,11213.0,90805.0,3.0,0.0,17.0
10,166.0,120.0,91.0,29.0,16.0,16.0,0.0,88.0,73.0,15.0,9836.0,3856.0,5980.0,2718.0,1028.0,1690.0,8916.0,2936.0,5980.0,1496.0,538.0,973.0,167493.0,21996.0,129803.0,3.0,0.0,17.0
