"run","tick","IntegralBHGR","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRsicht","IntegralBHGRsicht1","IntegralBHGRsicht2","IntegralBHST","IntegralBHST1","IntegralBHST2","IntegralBHSTertrag","IntegralBHSTertrag1","IntegralBHSTertrag2","IntegralBHSTsicht","IntegralBHSTsicht1","IntegralBHSTsicht2","GRCount","GRertragCount","GRsichtCount","STCount","STertragCount","STsichtCount","Resistance","Behaviour","Jahr","GRsichtCount2","GRCount1","GRCount2","GRertragCount1","GRertragCount2","GRsichtCount1"
1,166.0,8006.0,1985.0,6021.0,4202.0,1425.0,2777.0,5831.0,1797.0,4034.0,9974.0,3539.0,6435.0,5146.0,246.0,4900.0,8474.0,2324.0,6150.0,997429.0,206190.0,383634.0,2379050.0,742870.0,1338704.0,1.0,3.0,16.0,147598.0,549952.0,447477.0,115852.0,90338.0,236036.0
2,166.0,8710.0,2458.0,6252.0,5378.0,1451.0,3927.0,6661.0,2068.0,4593.0,10126.0,3626.0,6500.0,5192.0,242.0,4950.0,8594.0,2364.0,6230.0,1324559.0,278505.0,441350.0,2358992.0,731815.0,1327685.0,1.0,3.0,16.0,193456.0,491903.0,832656.0,119667.0,158838.0,247894.0
3,166.0,8783.0,2532.0,6251.0,5260.0,1451.0,3809.0,6476.0,2108.0,4368.0,10024.0,3539.0,6485.0,5197.0,247.0,4950.0,8463.0,2313.0,6150.0,1377207.0,267216.0,427483.0,2380845.0,739087.0,1336566.0,1.0,3.0,16.0,181804.0,579188.0,798019.0,119091.0,148125.0,245679.0
4,166.0,8848.0,2608.0,6240.0,5212.0,1440.0,3772.0,6468.0,2155.0,4313.0,10027.0,3539.0,6488.0,5193.0,243.0,4950.0,8466.0,2316.0,6150.0,1361787.0,260760.0,424663.0,2382889.0,737103.0,1339055.0,1.0,3.0,16.0,177015.0,584288.0,777499.0,117505.0,143255.0,247648.0
5,166.0,8814.0,2608.0,6206.0,5037.0,1426.0,3611.0,6386.0,2195.0,4191.0,10083.0,3583.0,6500.0,5184.0,234.0,4950.0,8566.0,2351.0,6215.0,1238369.0,253532.0,417152.0,2358612.0,730308.0,1323702.0,1.0,3.0,16.0,168845.0,490330.0,748039.0,117802.0,135730.0,248307.0
6,166.0,8800.0,2609.0,6191.0,4999.0,1436.0,3563.0,6412.0,2210.0,4202.0,10083.0,3583.0,6500.0,5189.0,239.0,4950.0,8560.0,2345.0,6215.0,1229054.0,250544.0,417810.0,2362928.0,724322.0,1320307.0,1.0,3.0,16.0,168415.0,488488.0,740566.0,116137.0,134407.0,249395.0
7,166.0,8601.0,2359.0,6242.0,5285.0,1426.0,3859.0,6471.0,1995.0,4476.0,9974.0,3539.0,6435.0,5191.0,241.0,4950.0,8459.0,2309.0,6150.0,1237169.0,264389.0,423100.0,2380835.0,744948.0,1342756.0,1.0,3.0,16.0,180437.0,481741.0,755428.0,118658.0,145731.0,242663.0
8,166.0,8786.0,2562.0,6224.0,5258.0,1426.0,3832.0,6536.0,2159.0,4377.0,9931.0,3496.0,6435.0,5193.0,243.0,4950.0,8440.0,2305.0,6135.0,1285504.0,265336.0,427673.0,2354294.0,736554.0,1331711.0,1.0,3.0,16.0,179815.0,493960.0,791544.0,119734.0,145602.0,247858.0
9,166.0,7762.0,2070.0,5692.0,4167.0,1439.0,2728.0,5375.0,1902.0,3473.0,10126.0,3626.0,6500.0,5192.0,242.0,4950.0,8569.0,2389.0,6180.0,822011.0,209156.0,360227.0,2382586.0,742844.0,1338717.0,1.0,3.0,16.0,119364.0,465027.0,356984.0,119598.0,89558.0,240863.0
10,166.0,8655.0,2423.0,6232.0,5385.0,1451.0,3934.0,6465.0,2045.0,4420.0,9974.0,3539.0,6435.0,5198.0,248.0,4950.0,8469.0,2319.0,6150.0,1301742.0,277492.0,436015.0,2357081.0,734193.0,1329578.0,1.0,3.0,16.0,189223.0,490509.0,811233.0,120113.0,157379.0,246792.0
