"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,20,2,520,3,-1576880618,5.14,1,1,23.34,72.09,700,0,7.5
2,20,2,520,3,-1576877054,5.14,1,1,23.34,72.09,700,0,7.5
3,20,2,520,3,-1576874626,5.14,1,1,23.34,72.09,700,0,7.5
4,20,2,520,3,-1576872747,5.14,1,1,23.34,72.09,700,0,7.5
5,20,2,520,3,-1576870766,5.14,1,1,23.34,72.09,700,0,7.5
6,20,2,520,3,-1576869322,5.14,1,1,23.34,72.09,700,0,7.5
7,20,2,520,3,-1576867406,5.14,1,1,23.34,72.09,700,0,7.5
8,20,2,520,3,-1576866282,5.14,1,1,23.34,72.09,700,0,7.5
9,20,2,520,3,-1576865079,5.14,1,1,23.34,72.09,700,0,7.5
10,20,2,520,3,-1576864414,5.14,1,1,23.34,72.09,700,0,7.5
11,20,2,520,3,-1576863706,5.14,1,1,23.34,72.09,700,0,7.5
12,20,2,520,3,-1576863122,5.14,1,1,23.34,72.09,700,0,7.5
13,20,2,520,3,-1576862027,5.14,1,1,23.34,72.09,700,0,7.5
14,20,2,520,3,-1576861506,5.14,1,1,23.34,72.09,700,0,7.5
15,20,2,520,3,-1576861085,5.14,1,1,23.34,72.09,700,0,7.5
16,20,2,520,3,-1576860615,5.14,1,1,23.34,72.09,700,0,7.5
17,20,2,520,3,-1576860238,5.14,1,1,23.34,72.09,700,0,7.5
18,20,2,520,3,-1576859461,5.14,1,1,23.34,72.09,700,0,7.5
19,20,2,520,3,-1576858859,5.14,1,1,23.34,72.09,700,0,7.5
20,20,2,520,3,-1576858263,5.14,1,1,23.34,72.09,700,0,7.5
21,20,2,520,3,-1576857840,5.14,1,1,23.34,72.09,700,0,7.5
22,20,2,520,3,-1576857364,5.14,1,1,23.34,72.09,700,0,7.5
23,20,2,520,3,-1576856950,5.14,1,1,23.34,72.09,700,0,7.5
24,20,2,520,3,-1576856527,5.14,1,1,23.34,72.09,700,0,7.5
25,20,2,520,3,-1576856006,5.14,1,1,23.34,72.09,700,0,7.5
26,20,2,520,3,-1576855549,5.14,1,1,23.34,72.09,700,0,7.5
27,20,2,520,3,-1576855195,5.14,1,1,23.34,72.09,700,0,7.5
28,20,2,520,3,-1576854751,5.14,1,1,23.34,72.09,700,0,7.5
29,20,2,520,3,-1576854457,5.14,1,1,23.34,72.09,700,0,7.5
30,20,2,520,3,-1576853751,5.14,1,1,23.34,72.09,700,0,7.5
31,20,2,520,3,-1576853330,5.14,1,1,23.34,72.09,700,0,7.5
32,20,2,520,3,-1576852624,5.14,1,1,23.34,72.09,700,0,7.5
33,20,2,520,3,-1576852126,5.14,1,1,23.34,72.09,700,0,7.5
34,20,2,520,3,-1576851524,5.14,1,1,23.34,72.09,700,0,7.5
35,20,2,520,3,-1576851183,5.14,1,1,23.34,72.09,700,0,7.5
36,20,2,520,3,-1576850750,5.14,1,1,23.34,72.09,700,0,7.5
37,20,2,520,3,-1576850486,5.14,1,1,23.34,72.09,700,0,7.5
38,20,2,520,3,-1576850113,5.14,1,1,23.34,72.09,700,0,7.5
39,20,2,520,3,-1576849752,5.14,1,1,23.34,72.09,700,0,7.5
40,20,2,520,3,-1576849334,5.14,1,1,23.34,72.09,700,0,7.5
41,20,2,520,3,-1576848937,5.14,1,1,23.34,72.09,700,0,7.5
42,20,2,520,3,-1576848488,5.14,1,1,23.34,72.09,700,0,7.5
43,20,2,520,3,-1576848007,5.14,1,1,23.34,72.09,700,0,7.5
44,20,2,520,3,-1576847448,5.14,1,1,23.34,72.09,700,0,7.5
45,20,2,520,3,-1576846918,5.14,1,1,23.34,72.09,700,0,7.5
46,20,2,520,3,-1576846403,5.14,1,1,23.34,72.09,700,0,7.5
47,20,2,520,3,-1576845999,5.14,1,1,23.34,72.09,700,0,7.5
48,20,2,520,3,-1576845575,5.14,1,1,23.34,72.09,700,0,7.5
49,20,2,520,3,-1576845210,5.14,1,1,23.34,72.09,700,0,7.5
50,20,2,520,3,-1576844848,5.14,1,1,23.34,72.09,700,0,7.5
