"run","tick","IntegralBHGRErtrag","IntegralBHGRSicht","IntegralBHST","IntegralBHSTErtrag","IntegralBHSTSicht","IntegralGRCount","IntegralGRErtragCount","IntegralGRSichtCount","IntegralSTCount","IntegralSTErtragCount","IntegralSTSichtCount","IntegralBHGR","IntegralGRCount1","IntegralGRCount2","IntegralGRErtragCount1","IntegralGRErtragCount2","IntegralGRSichtCount1","IntegralGRSichtCount2","IntegralSTCount1","IntegralSTCount2","IntegralSTErtragCount1","IntegralSTErtragCount2","IntegralSTSichtCount1","IntegralSTSichtCount2","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRSicht1","IntegralBHGRSicht2","IntegralBHST1","IntegralBHST2","IntegralBHSTErtrag1","IntegralBHSTErtrag2","IntegralBHSTSicht1","IntegralBHSTSicht2"
1,166.0,2.0,50.0,6824.0,1055.0,5513.0,1059.0,228.0,634.0,41329.0,6847.0,38662.0,454.0,538.0,521.0,126.0,102.0,443.0,191.0,15405.0,25924.0,5131.0,1716.0,13978.0,24684.0,132.0,322.0,2.0,0.0,47.0,3.0,2667.0,4157.0,794.0,261.0,2084.0,3429.0
3,166.0,200.0,320.0,6613.0,1107.0,5194.0,3680.0,1377.0,2243.0,41155.0,7092.0,38123.0,886.0,1424.0,2256.0,274.0,1103.0,913.0,1330.0,15255.0,25900.0,5508.0,1584.0,13835.0,24288.0,240.0,646.0,34.0,166.0,120.0,200.0,2586.0,4027.0,847.0,260.0,1995.0,3199.0
5,166.0,20.0,118.0,6571.0,1113.0,5236.0,1972.0,598.0,1126.0,41454.0,7007.0,38937.0,618.0,856.0,1116.0,232.0,366.0,631.0,495.0,15460.0,25994.0,5093.0,1914.0,14121.0,24816.0,175.0,443.0,20.0,0.0,97.0,21.0,2544.0,4027.0,788.0,325.0,1984.0,3252.0
7,166.0,52.0,134.0,6597.0,887.0,5310.0,1928.0,465.0,956.0,40614.0,5861.0,37753.0,465.0,705.0,1223.0,101.0,364.0,497.0,459.0,15160.0,25454.0,4944.0,917.0,13681.0,24072.0,141.0,324.0,2.0,50.0,67.0,67.0,2570.0,4027.0,757.0,130.0,2000.0,3310.0
9,166.0,78.0,174.0,6466.0,1123.0,5207.0,2647.0,975.0,1576.0,41716.0,7346.0,38901.0,611.0,903.0,1744.0,305.0,670.0,702.0,874.0,15598.0,26118.0,5432.0,1914.0,14085.0,24816.0,162.0,449.0,27.0,51.0,91.0,83.0,2513.0,3953.0,798.0,325.0,1968.0,3239.0
11,166.0,142.0,249.0,6345.0,1142.0,5188.0,2789.0,1442.0,2022.0,39193.0,7429.0,38187.0,670.0,1057.0,1732.0,258.0,1184.0,747.0,1275.0,14729.0,24464.0,5405.0,2024.0,13987.0,24200.0,227.0,443.0,26.0,116.0,117.0,132.0,2455.0,3890.0,812.0,330.0,1978.0,3210.0
13,166.0,78.0,169.0,6724.0,1371.0,5500.0,2559.0,591.0,1129.0,42542.0,8640.0,41099.0,611.0,848.0,1711.0,243.0,348.0,600.0,529.0,15776.0,26766.0,5592.0,3048.0,14621.0,26478.0,163.0,448.0,28.0,50.0,87.0,82.0,2632.0,4092.0,846.0,525.0,2076.0,3424.0
15,166.0,70.0,161.0,6789.0,1046.0,5410.0,2500.0,595.0,1167.0,41880.0,6760.0,38828.0,861.0,881.0,1619.0,210.0,385.0,637.0,530.0,15344.0,26536.0,5110.0,1650.0,14276.0,24552.0,233.0,628.0,20.0,50.0,91.0,70.0,2576.0,4213.0,786.0,260.0,2044.0,3366.0
17,166.0,201.0,311.0,7091.0,1422.0,5608.0,3486.0,1401.0,2072.0,41060.0,8493.0,39929.0,926.0,1115.0,2371.0,346.0,1055.0,775.0,1297.0,15226.0,25834.0,5385.0,3108.0,14381.0,25548.0,227.0,699.0,34.0,167.0,106.0,205.0,2748.0,4343.0,843.0,579.0,2098.0,3510.0
19,166.0,71.0,141.0,6361.0,1130.0,5013.0,2030.0,688.0,1168.0,41375.0,7756.0,39094.0,515.0,726.0,1304.0,186.0,502.0,530.0,638.0,15443.0,25932.0,5842.0,1914.0,14278.0,24816.0,138.0,377.0,20.0,51.0,71.0,70.0,2464.0,3897.0,805.0,325.0,1897.0,3116.0
21,166.0,71.0,147.0,7107.0,1205.0,5468.0,2216.0,602.0,1093.0,42457.0,7495.0,39428.0,697.0,825.0,1391.0,186.0,416.0,532.0,561.0,15695.0,26762.0,5251.0,2244.0,14216.0,25212.0,184.0,513.0,20.0,51.0,73.0,74.0,2758.0,4349.0,815.0,390.0,2078.0,3390.0
23,166.0,18.0,98.0,6475.0,935.0,5160.0,1514.0,435.0,977.0,39753.0,6058.0,37360.0,648.0,760.0,754.0,165.0,270.0,580.0,397.0,14901.0,24852.0,5266.0,792.0,13996.0,23364.0,197.0,451.0,18.0,0.0,80.0,18.0,2517.0,3958.0,805.0,130.0,1977.0,3183.0
25,166.0,2.0,67.0,6799.0,1206.0,5507.0,1603.0,220.0,661.0,41177.0,7378.0,38707.0,492.0,554.0,1049.0,104.0,116.0,427.0,234.0,15373.0,25804.0,5266.0,2112.0,13957.0,24750.0,110.0,382.0,2.0,0.0,52.0,15.0,2646.0,4153.0,816.0,390.0,2071.0,3436.0
27,166.0,63.0,155.0,6719.0,983.0,5310.0,2019.0,670.0,1157.0,41099.0,6379.0,37987.0,583.0,759.0,1260.0,172.0,498.0,554.0,603.0,15157.0,25942.0,4861.0,1518.0,14029.0,23958.0,154.0,429.0,5.0,58.0,78.0,77.0,2575.0,4144.0,723.0,260.0,2006.0,3304.0
29,166.0,2.0,89.0,6461.0,1067.0,5172.0,1934.0,417.0,928.0,42334.0,7129.0,38855.0,453.0,823.0,1111.0,153.0,264.0,550.0,378.0,15580.0,26754.0,5215.0,1914.0,13775.0,25080.0,132.0,321.0,2.0,0.0,72.0,17.0,2503.0,3958.0,742.0,325.0,1929.0,3243.0
31,166.0,213.0,349.0,6764.0,1024.0,5360.0,3521.0,1400.0,2271.0,41436.0,6624.0,38809.0,1083.0,1331.0,2190.0,345.0,1055.0,950.0,1321.0,15392.0,26044.0,5040.0,1584.0,14191.0,24618.0,271.0,812.0,47.0,166.0,148.0,201.0,2611.0,4153.0,764.0,260.0,2037.0,3323.0
33,166.0,16.0,103.0,6524.0,1059.0,5141.0,1643.0,402.0,985.0,40503.0,6878.0,37877.0,635.0,822.0,821.0,180.0,222.0,624.0,361.0,14999.0,25504.0,5492.0,1386.0,13985.0,23892.0,186.0,449.0,16.0,0.0,84.0,19.0,2562.0,3962.0,799.0,260.0,1963.0,3178.0
35,166.0,54.0,149.0,6944.0,1119.0,5514.0,1799.0,553.0,1088.0,41713.0,7186.0,39077.0,637.0,755.0,1044.0,147.0,406.0,568.0,520.0,15467.0,26246.0,5602.0,1584.0,14195.0,24882.0,186.0,451.0,2.0,52.0,80.0,69.0,2664.0,4280.0,859.0,260.0,2077.0,3437.0
37,166.0,143.0,221.0,6642.0,1339.0,5308.0,2766.0,1132.0,1666.0,42108.0,8580.0,40716.0,795.0,928.0,1838.0,242.0,890.0,630.0,1036.0,15598.0,26510.0,5434.0,3146.0,14470.0,26246.0,219.0,576.0,26.0,117.0,86.0,135.0,2553.0,4089.0,799.0,540.0,1961.0,3347.0
39,166.0,220.0,329.0,6667.0,1166.0,5499.0,3217.0,1403.0,2066.0,42917.0,7265.0,39883.0,799.0,1197.0,2020.0,368.0,1035.0,812.0,1254.0,15817.0,27100.0,5483.0,1782.0,14209.0,25674.0,228.0,571.0,45.0,175.0,126.0,203.0,2578.0,4089.0,841.0,325.0,2054.0,3445.0
41,166.0,71.0,167.0,6477.0,1330.0,5265.0,2560.0,791.0,1417.0,41543.0,8277.0,40315.0,633.0,989.0,1571.0,209.0,582.0,683.0,734.0,15371.0,26172.0,5271.0,3006.0,14407.0,25908.0,182.0,451.0,20.0,51.0,85.0,82.0,2515.0,3962.0,801.0,529.0,2015.0,3250.0
43,166.0,0.0,91.0,6569.0,1057.0,5347.0,1595.0,434.0,871.0,40775.0,6727.0,38005.0,517.0,677.0,918.0,120.0,314.0,442.0,429.0,15185.0,25590.0,5275.0,1452.0,13717.0,24288.0,139.0,378.0,0.0,0.0,64.0,27.0,2547.0,4022.0,797.0,260.0,2020.0,3327.0
45,166.0,136.0,261.0,6146.0,962.0,5035.0,3353.0,1041.0,1794.0,40891.0,6538.0,38368.0,890.0,1142.0,2211.0,304.0,737.0,832.0,962.0,15181.0,25710.0,5218.0,1320.0,14146.0,24222.0,207.0,683.0,34.0,102.0,114.0,147.0,2382.0,3764.0,767.0,195.0,1922.0,3113.0
47,166.0,162.0,265.0,6876.0,1215.0,5525.0,2940.0,1101.0,1716.0,41844.0,7840.0,39603.0,940.0,1080.0,1860.0,333.0,768.0,784.0,932.0,15710.0,26134.0,5794.0,2046.0,14523.0,25080.0,252.0,688.0,46.0,116.0,129.0,136.0,2719.0,4157.0,886.0,329.0,2097.0,3428.0
49,166.0,98.0,214.0,6571.0,883.0,5260.0,2822.0,819.0,1578.0,41121.0,6027.0,37935.0,742.0,1109.0,1713.0,325.0,494.0,846.0,732.0,15229.0,25892.0,5037.0,990.0,13779.0,24156.0,227.0,515.0,46.0,52.0,128.0,86.0,2549.0,4022.0,753.0,130.0,2003.0,3257.0
2,166.0,55.0,185.0,6633.0,1200.0,5173.0,2265.0,691.0,1372.0,41815.0,7439.0,39106.0,762.0,969.0,1296.0,155.0,536.0,706.0,666.0,15507.0,26308.0,5393.0,2046.0,14224.0,24882.0,207.0,555.0,3.0,52.0,103.0,82.0,2549.0,4084.0,810.0,390.0,1976.0,3197.0
4,166.0,58.0,185.0,6834.0,1122.0,5440.0,2421.0,587.0,1323.0,42169.0,7408.0,39195.0,840.0,1061.0,1360.0,202.0,385.0,767.0,556.0,15547.0,26622.0,5362.0,2046.0,14247.0,24948.0,260.0,580.0,8.0,50.0,103.0,82.0,2620.0,4214.0,797.0,325.0,2061.0,3379.0
6,166.0,6.0,90.0,6554.0,1048.0,5318.0,1717.0,406.0,845.0,41461.0,6826.0,38750.0,641.0,684.0,1033.0,156.0,250.0,497.0,348.0,15363.0,26098.0,5308.0,1518.0,14264.0,24486.0,198.0,443.0,6.0,0.0,73.0,17.0,2534.0,4020.0,788.0,260.0,2052.0,3266.0
