"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,20,2,520,2,-1590026147,5.14,1,1,23.34,72.09,700,0,7.5
2,20,2,520,2,-1590015400,5.14,1,1,23.34,72.09,700,0,7.5
3,20,2,520,2,-1590010489,5.14,1,1,23.34,72.09,700,0,7.5
4,20,2,520,2,-1590007826,5.14,1,1,23.34,72.09,700,0,7.5
5,20,2,520,2,-1590006414,5.14,1,1,23.34,72.09,700,0,7.5
6,20,2,520,2,-1590004835,5.14,1,1,23.34,72.09,700,0,7.5
7,20,2,520,2,-1590003628,5.14,1,1,23.34,72.09,700,0,7.5
8,20,2,520,2,-1590000968,5.14,1,1,23.34,72.09,700,0,7.5
9,20,2,520,2,-1589998015,5.14,1,1,23.34,72.09,700,0,7.5
10,20,2,520,2,-1589996837,5.14,1,1,23.34,72.09,700,0,7.5
11,20,2,520,2,-1589995074,5.14,1,1,23.34,72.09,700,0,7.5
12,20,2,520,2,-1589993669,5.14,1,1,23.34,72.09,700,0,7.5
13,20,2,520,2,-1589992336,5.14,1,1,23.34,72.09,700,0,7.5
14,20,2,520,2,-1589990995,5.14,1,1,23.34,72.09,700,0,7.5
15,20,2,520,2,-1589989386,5.14,1,1,23.34,72.09,700,0,7.5
16,20,2,520,2,-1589988020,5.14,1,1,23.34,72.09,700,0,7.5
17,20,2,520,2,-1589986877,5.14,1,1,23.34,72.09,700,0,7.5
18,20,2,520,2,-1589985740,5.14,1,1,23.34,72.09,700,0,7.5
19,20,2,520,2,-1589984591,5.14,1,1,23.34,72.09,700,0,7.5
20,20,2,520,2,-1589983527,5.14,1,1,23.34,72.09,700,0,7.5
