"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,20,2,520,1,-1506835234,5.14,1,1,23.34,72.09,550,0,7.5
2,20,2,520,1,-1506824158,5.14,1,1,23.34,72.09,550,0,7.5
3,20,2,520,1,-1506819306,5.14,1,1,23.34,72.09,550,0,7.5
4,20,2,520,1,-1506815176,5.14,1,1,23.34,72.09,550,0,7.5
5,20,2,520,1,-1506811393,5.14,1,1,23.34,72.09,550,0,7.5
6,20,2,520,1,-1506806017,5.14,1,1,23.34,72.09,550,0,7.5
7,20,2,520,1,-1506801058,5.14,1,1,23.34,72.09,550,0,7.5
8,20,2,520,1,-1506797313,5.14,1,1,23.34,72.09,550,0,7.5
9,20,2,520,1,-1506792643,5.14,1,1,23.34,72.09,550,0,7.5
10,20,2,520,1,-1506789671,5.14,1,1,23.34,72.09,550,0,7.5
11,20,2,520,1,-1506786229,5.14,1,1,23.34,72.09,550,0,7.5
12,20,2,520,1,-1506782770,5.14,1,1,23.34,72.09,550,0,7.5
13,20,2,520,1,-1506779734,5.14,1,1,23.34,72.09,550,0,7.5
14,20,2,520,1,-1506776248,5.14,1,1,23.34,72.09,550,0,7.5
15,20,2,520,1,-1506772967,5.14,1,1,23.34,72.09,550,0,7.5
16,20,2,520,1,-1506769551,5.14,1,1,23.34,72.09,550,0,7.5
17,20,2,520,1,-1506766166,5.14,1,1,23.34,72.09,550,0,7.5
18,20,2,520,1,-1506762872,5.14,1,1,23.34,72.09,550,0,7.5
19,20,2,520,1,-1506759409,5.14,1,1,23.34,72.09,550,0,7.5
20,20,2,520,1,-1506755926,5.14,1,1,23.34,72.09,550,0,7.5
