"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,80,2,2080,1,-1243561105,5.14,1,1,23.34,72.09,2800,0,7.5
2,80,2,2080,1,-1243528757,5.14,1,1,23.34,72.09,2800,0,7.5
3,80,2,2080,1,-1243503131,5.14,1,1,23.34,72.09,2800,0,7.5
4,80,2,2080,1,-1243477989,5.14,1,1,23.34,72.09,2800,0,7.5
5,80,2,2080,1,-1243453575,5.14,1,1,23.34,72.09,2800,0,7.5
6,80,2,2080,1,-1243427071,5.14,1,1,23.34,72.09,2800,0,7.5
7,80,2,2080,1,-1243401482,5.14,1,1,23.34,72.09,2800,0,7.5
8,80,2,2080,1,-1243373284,5.14,1,1,23.34,72.09,2800,0,7.5
9,80,2,2080,1,-1243346490,5.14,1,1,23.34,72.09,2800,0,7.5
10,80,2,2080,1,-1243311746,5.14,1,1,23.34,72.09,2800,0,7.5
