"run","tick","IntegralBHGRErtrag","IntegralBHGRSicht","IntegralBHST","IntegralBHSTErtrag","IntegralBHSTSicht","IntegralGRCount","IntegralGRErtragCount","IntegralGRSichtCount","IntegralSTCount","IntegralSTErtragCount","IntegralSTSichtCount","IntegralBHGR","IntegralGRCount1","IntegralGRCount2","IntegralGRErtragCount1","IntegralGRErtragCount2","IntegralGRSichtCount1","IntegralGRSichtCount2","IntegralSTCount1","IntegralSTCount2","IntegralSTErtragCount1","IntegralSTErtragCount2","IntegralSTSichtCount1","IntegralSTSichtCount2","IntegralBHGR1","IntegralBHGR2","IntegralBHGRErtrag1","IntegralBHGRErtrag2","IntegralBHGRSicht1","IntegralBHGRSicht2","IntegralBHST1","IntegralBHST2","IntegralBHSTErtrag1","IntegralBHSTErtrag2","IntegralBHSTSicht1","IntegralBHSTSicht2"
1,166.0,73.0,172.0,9983.0,3758.0,8736.0,2514.0,730.0,1340.0,141139.0,25538.0,107921.0,826.0,997.0,1517.0,166.0,564.0,672.0,668.0,43017.0,98122.0,10028.0,15510.0,28523.0,79398.0,201.0,625.0,8.0,65.0,90.0,82.0,3817.0,6166.0,1361.0,2397.0,2972.0,5764.0
3,166.0,396.0,527.0,9942.0,3113.0,8525.0,6549.0,2920.0,3884.0,132709.0,20869.0,101328.0,1214.0,1754.0,4795.0,527.0,2393.0,1170.0,2714.0,41475.0,91234.0,9055.0,11814.0,27144.0,74184.0,273.0,941.0,56.0,340.0,147.0,380.0,3841.0,6101.0,1236.0,1877.0,2985.0,5540.0
5,166.0,166.0,332.0,10080.0,3768.0,8892.0,4084.0,1376.0,2289.0,142299.0,27159.0,113070.0,989.0,1303.0,2781.0,233.0,1143.0,930.0,1359.0,43823.0,98476.0,11781.0,15378.0,32946.0,80124.0,279.0,710.0,13.0,153.0,138.0,194.0,3856.0,6224.0,1597.0,2171.0,3176.0,5716.0
7,166.0,179.0,304.0,10259.0,4082.0,9227.0,4394.0,1204.0,2065.0,147297.0,27305.0,114939.0,1035.0,1206.0,3188.0,257.0,947.0,819.0,1246.0,44741.0,102556.0,11861.0,15444.0,32967.0,81972.0,227.0,808.0,27.0,152.0,105.0,199.0,3963.0,6296.0,1685.0,2397.0,3317.0,5910.0
9,166.0,243.0,448.0,9940.0,3630.0,8888.0,5823.0,1721.0,2953.0,142426.0,25310.0,112372.0,1312.0,1720.0,4103.0,364.0,1357.0,1189.0,1764.0,43784.0,98642.0,11252.0,14058.0,32578.0,79794.0,357.0,955.0,38.0,205.0,172.0,276.0,3836.0,6104.0,1547.0,2083.0,3169.0,5719.0
11,166.0,129.0,254.0,10127.0,4061.0,8950.0,4080.0,1055.0,1782.0,140542.0,26941.0,110359.0,1044.0,1092.0,2988.0,269.0,786.0,764.0,1018.0,42918.0,97624.0,11299.0,15642.0,32017.0,78342.0,230.0,814.0,27.0,102.0,112.0,142.0,3896.0,6231.0,1650.0,2411.0,3231.0,5719.0
13,166.0,184.0,336.0,10024.0,3790.0,8855.0,4346.0,1330.0,2257.0,138121.0,26229.0,108700.0,1110.0,1277.0,3069.0,260.0,1070.0,917.0,1340.0,42521.0,95600.0,10983.0,15246.0,31018.0,77682.0,284.0,826.0,30.0,154.0,136.0,200.0,3802.0,6222.0,1562.0,2228.0,3134.0,5721.0
15,166.0,155.0,276.0,10293.0,3857.0,9006.0,4750.0,1241.0,1993.0,143508.0,26142.0,109912.0,918.0,1282.0,3468.0,337.0,904.0,838.0,1155.0,44016.0,99492.0,10302.0,15840.0,29392.0,80520.0,228.0,690.0,38.0,117.0,118.0,158.0,3994.0,6299.0,1465.0,2392.0,3141.0,5865.0
17,166.0,371.0,524.0,10076.0,3306.0,8664.0,6026.0,2437.0,3381.0,136961.0,22741.0,105940.0,1284.0,1598.0,4428.0,427.0,2010.0,1074.0,2307.0,42857.0,94104.0,9739.0,13002.0,28390.0,77550.0,277.0,1007.0,51.0,320.0,167.0,357.0,3848.0,6228.0,1353.0,1953.0,3013.0,5651.0
19,166.0,92.0,164.0,10003.0,5424.0,9185.0,3366.0,685.0,1232.0,142990.0,43149.0,130476.0,698.0,966.0,2400.0,223.0,462.0,605.0,627.0,43842.0,99148.0,12300.0,30849.0,34551.0,95925.0,193.0,505.0,27.0,65.0,82.0,82.0,3837.0,6166.0,1701.0,3723.0,3222.0,5963.0
21,166.0,146.0,282.0,9986.0,3969.0,8768.0,4857.0,1076.0,1830.0,144281.0,25927.0,111199.0,1169.0,1250.0,3607.0,242.0,834.0,784.0,1046.0,44265.0,100016.0,10615.0,15312.0,30217.0,80982.0,282.0,887.0,30.0,116.0,133.0,149.0,3820.0,6166.0,1497.0,2472.0,3094.0,5674.0
23,166.0,195.0,330.0,10258.0,5644.0,9425.0,4559.0,1620.0,2433.0,152099.0,46110.0,137208.0,1024.0,1346.0,3213.0,361.0,1259.0,925.0,1508.0,46389.0,105710.0,12868.0,33242.0,35326.0,101882.0,260.0,764.0,37.0,158.0,132.0,198.0,3959.0,6299.0,1759.0,3885.0,3354.0,6071.0
25,166.0,131.0,248.0,10166.0,4011.0,9087.0,3222.0,1165.0,1830.0,148457.0,27643.0,114906.0,746.0,1082.0,2140.0,287.0,878.0,782.0,1048.0,45173.0,103284.0,10681.0,16962.0,31152.0,83754.0,181.0,565.0,27.0,104.0,113.0,135.0,3932.0,6234.0,1526.0,2485.0,3168.0,5919.0
