"run","tick","SchadenprozGRsicht","SchaedenprozGR","SchaedenprozGRE","SchaedenprozST","SchaedenprozSTE","SchaedenprzSTsicht","Resistance","Behaviour"
1,1.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,2.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,3.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,4.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,5.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,6.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,7.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,8.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,9.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,10.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,11.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,12.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,13.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,14.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,15.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,16.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,17.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,18.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,19.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,20.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,21.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,22.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,23.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,24.0,0.0,2.2884615384615383,0.0,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,25.0,0.5,2.2884615384615383,0.5,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,26.0,1.1346153846153846,2.2884615384615383,1.1346153846153846,58.11538461538461,58.11538461538461,58.11538461538461,3.0,0.0
1,27.0,1.1346153846153846,2.2884615384615383,1.1346153846153846,59.32692307692308,58.11538461538461,58.11538461538461,3.0,0.0
1,28.0,1.5769230769230769,2.3461538461538463,1.5769230769230769,59.32692307692308,58.11538461538461,58.11538461538461,3.0,0.0
1,29.0,1.5769230769230769,2.3461538461538463,1.5769230769230769,59.32692307692308,58.11538461538461,58.11538461538461,3.0,0.0
1,30.0,2.2884615384615383,2.519230769230769,2.2884615384615383,59.32692307692308,58.11538461538461,58.11538461538461,3.0,0.0
1,31.0,2.2884615384615383,2.519230769230769,2.2884615384615383,59.32692307692308,58.11538461538461,58.11538461538461,3.0,0.0
1,32.0,2.2884615384615383,2.519230769230769,2.2884615384615383,59.32692307692308,58.11538461538461,58.11538461538461,3.0,0.0
1,33.0,2.2884615384615383,2.519230769230769,2.2884615384615383,59.32692307692308,58.11538461538461,58.11538461538461,3.0,0.0
1,34.0,2.2884615384615383,2.519230769230769,2.2884615384615383,59.32692307692308,58.11538461538461,58.11538461538461,3.0,0.0
1,35.0,2.2884615384615383,2.519230769230769,2.2884615384615383,59.32692307692308,58.11538461538461,58.11538461538461,3.0,0.0
1,36.0,2.2884615384615383,2.8269230769230766,2.2884615384615383,59.32692307692308,58.11538461538461,58.11538461538461,3.0,0.0
1,37.0,2.2884615384615383,2.8269230769230766,2.2884615384615383,59.32692307692308,58.11538461538461,58.11538461538461,3.0,0.0
1,38.0,2.2884615384615383,2.8269230769230766,2.2884615384615383,59.32692307692308,58.11538461538461,58.11538461538461,3.0,0.0
1,39.0,2.2884615384615383,3.0,2.2884615384615383,59.32692307692308,58.11538461538461,58.11538461538461,3.0,0.0
1,40.0,2.2884615384615383,3.0,2.2884615384615383,59.32692307692308,58.11538461538461,58.11538461538461,3.0,0.0
1,41.0,2.2884615384615383,3.0,2.2884615384615383,59.32692307692308,58.11538461538461,58.11538461538461,3.0,0.0
1,42.0,2.2884615384615383,3.0,2.2884615384615383,59.32692307692308,58.13461538461539,58.13461538461539,3.0,0.0
1,43.0,2.2884615384615383,3.0,2.2884615384615383,59.32692307692308,58.17307692307693,58.17307692307693,3.0,0.0
1,44.0,2.2884615384615383,3.0,2.2884615384615383,59.32692307692308,58.192307692307686,58.192307692307686,3.0,0.0
1,45.0,2.2884615384615383,3.0,2.2884615384615383,59.32692307692308,58.192307692307686,58.192307692307686,3.0,0.0
1,46.0,2.3846153846153846,3.0,2.3846153846153846,89.90384615384616,58.25,58.25,3.0,0.0
