"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,80,2,2080,2,-297284187,5.14,1,1,23.34,72.09,2000,1,0,7.5
2,80,2,2080,2,-297277627,5.14,1,1,23.34,72.09,2000,1,0,7.5
3,80,2,2080,2,-297273603,5.14,1,1,23.34,72.09,2000,1,0,7.5
4,80,2,2080,2,-297270615,5.14,1,1,23.34,72.09,2000,1,0,7.5
5,80,2,2080,2,-297267615,5.14,1,1,23.34,72.09,2000,1,0,7.5
6,80,2,2080,2,-297264657,5.14,1,1,23.34,72.09,2000,1,0,7.5
7,80,2,2080,2,-297261378,5.14,1,1,23.34,72.09,2000,1,0,7.5
8,80,2,2080,2,-297258516,5.14,1,1,23.34,72.09,2000,1,0,7.5
9,80,2,2080,2,-297255978,5.14,1,1,23.34,72.09,2000,1,0,7.5
10,80,2,2080,2,-297253113,5.14,1,1,23.34,72.09,2000,1,0,7.5
