"run","Jahr","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,17,3000,2,2080,1,506017238,5.14,1,1,23.34,72.09,400,0,1,7.5
2,17,3000,2,2080,2,506066607,5.14,1,1,23.34,72.09,400,0,1,7.5
3,17,3000,2,2080,3,506071240,5.14,1,1,23.34,72.09,400,0,1,7.5
4,17,3000,2,2080,1,506073668,5.14,1,1,23.34,72.09,400,0,1,7.5
5,17,3000,2,2080,2,506108089,5.14,1,1,23.34,72.09,400,0,1,7.5
6,17,3000,2,2080,3,506112308,5.14,1,1,23.34,72.09,400,0,1,7.5
7,17,3000,2,2080,1,506114634,5.14,1,1,23.34,72.09,400,0,1,7.5
8,17,3000,2,2080,2,506151661,5.14,1,1,23.34,72.09,400,0,1,7.5
9,17,3000,2,2080,3,506154902,5.14,1,1,23.34,72.09,400,0,1,7.5
10,17,3000,2,2080,1,506156934,5.14,1,1,23.34,72.09,400,0,1,7.5
11,17,3000,2,2080,2,506191006,5.14,1,1,23.34,72.09,400,0,1,7.5
12,17,3000,2,2080,3,506194149,5.14,1,1,23.34,72.09,400,0,1,7.5
13,17,3000,2,2080,1,506196150,5.14,1,1,23.34,72.09,400,0,1,7.5
14,17,3000,2,2080,2,506233227,5.14,1,1,23.34,72.09,400,0,1,7.5
15,17,3000,2,2080,3,506237601,5.14,1,1,23.34,72.09,400,0,1,7.5
16,17,3000,2,2080,1,506243245,5.14,1,1,23.34,72.09,400,0,1,7.5
17,17,3000,2,2080,2,506286972,5.14,1,1,23.34,72.09,400,0,1,7.5
18,17,3000,2,2080,3,506291589,5.14,1,1,23.34,72.09,400,0,1,7.5
19,17,3000,2,2080,1,506299640,5.14,1,1,23.34,72.09,400,0,1,7.5
20,17,3000,2,2080,2,506338655,5.14,1,1,23.34,72.09,400,0,1,7.5
21,17,3000,2,2080,3,506342111,5.14,1,1,23.34,72.09,400,0,1,7.5
22,17,3000,2,2080,1,506345378,5.14,1,1,23.34,72.09,400,0,1,7.5
23,17,3000,2,2080,2,506380696,5.14,1,1,23.34,72.09,400,0,1,7.5
24,17,3000,2,2080,3,506383765,5.14,1,1,23.34,72.09,400,0,1,7.5
25,17,3000,2,2080,1,506385745,5.14,1,1,23.34,72.09,400,0,1,7.5
26,17,3000,2,2080,2,506424692,5.14,1,1,23.34,72.09,400,0,1,7.5
27,17,3000,2,2080,3,506429562,5.14,1,1,23.34,72.09,400,0,1,7.5
28,17,3000,2,2080,1,506433625,5.14,1,1,23.34,72.09,400,0,1,7.5
29,17,3000,2,2080,2,506505149,5.14,1,1,23.34,72.09,400,0,1,7.5
30,17,3000,2,2080,3,506514630,5.14,1,1,23.34,72.09,400,0,1,7.5
