"run","Jahr","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,18,3000,2,2080,1,562805561,5.14,1,1,23.34,72.09,400,0,2,7.5
2,18,3000,2,2080,1,562862223,5.14,1,1,23.34,72.09,400,0,2,7.5
3,18,3000,2,2080,1,562918860,5.14,1,1,23.34,72.09,400,0,2,7.5
4,18,3000,2,2080,1,562975887,5.14,1,1,23.34,72.09,400,0,2,7.5
5,18,3000,2,2080,1,563026158,5.14,1,1,23.34,72.09,400,0,2,7.5
6,18,3000,2,2080,1,563080852,5.14,1,1,23.34,72.09,400,0,2,7.5
7,18,3000,2,2080,1,563134110,5.14,1,1,23.34,72.09,400,0,2,7.5
8,18,3000,2,2080,1,563186506,5.14,1,1,23.34,72.09,400,0,2,7.5
9,18,3000,2,2080,1,563240684,5.14,1,1,23.34,72.09,400,0,2,7.5
10,18,3000,2,2080,1,563294453,5.14,1,1,23.34,72.09,400,0,2,7.5
