"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,20,2,520,1,-1581609710,5.14,1,1,23.34,72.09,700,0,7.5
2,20,2,520,1,-1581596843,5.14,1,1,23.34,72.09,700,0,7.5
3,20,2,520,1,-1581590357,5.14,1,1,23.34,72.09,700,0,7.5
4,20,2,520,1,-1581584546,5.14,1,1,23.34,72.09,700,0,7.5
5,20,2,520,1,-1581579396,5.14,1,1,23.34,72.09,700,0,7.5
6,20,2,520,1,-1581574953,5.14,1,1,23.34,72.09,700,0,7.5
7,20,2,520,1,-1581569182,5.14,1,1,23.34,72.09,700,0,7.5
8,20,2,520,1,-1581563882,5.14,1,1,23.34,72.09,700,0,7.5
9,20,2,520,1,-1581557635,5.14,1,1,23.34,72.09,700,0,7.5
10,20,2,520,1,-1581551329,5.14,1,1,23.34,72.09,700,0,7.5
11,20,2,520,1,-1581545664,5.14,1,1,23.34,72.09,700,0,7.5
12,20,2,520,1,-1581535886,5.14,1,1,23.34,72.09,700,0,7.5
13,20,2,520,1,-1581528112,5.14,1,1,23.34,72.09,700,0,7.5
14,20,2,520,1,-1581522644,5.14,1,1,23.34,72.09,700,0,7.5
15,20,2,520,1,-1581513382,5.14,1,1,23.34,72.09,700,0,7.5
16,20,2,520,1,-1581502276,5.14,1,1,23.34,72.09,700,0,7.5
17,20,2,520,1,-1581494546,5.14,1,1,23.34,72.09,700,0,7.5
18,20,2,520,1,-1581489913,5.14,1,1,23.34,72.09,700,0,7.5
19,20,2,520,1,-1581483580,5.14,1,1,23.34,72.09,700,0,7.5
20,20,2,520,1,-1581474990,5.14,1,1,23.34,72.09,700,0,7.5
