"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,20,2,520,1,-1455597791,5.14,1,1,23.34,72.09,650,0,7.5
3,20,2,520,1,-1455578495,5.14,1,1,23.34,72.09,650,0,7.5
5,20,2,520,1,-1455570012,5.14,1,1,23.34,72.09,650,0,7.5
7,20,2,520,1,-1455560388,5.14,1,1,23.34,72.09,650,0,7.5
9,20,2,520,1,-1455551461,5.14,1,1,23.34,72.09,650,0,7.5
11,20,2,520,1,-1455544945,5.14,1,1,23.34,72.09,650,0,7.5
13,20,2,520,1,-1455539523,5.14,1,1,23.34,72.09,650,0,7.5
15,20,2,520,1,-1455532092,5.14,1,1,23.34,72.09,650,0,7.5
17,20,2,520,1,-1455524679,5.14,1,1,23.34,72.09,650,0,7.5
19,20,2,520,1,-1455516806,5.14,1,1,23.34,72.09,650,0,7.5
2,20,2,520,1,-1455597773,5.14,1,1,23.34,72.09,650,0,7.5
4,20,2,520,1,-1455577772,5.14,1,1,23.34,72.09,650,0,7.5
6,20,2,520,1,-1455567794,5.14,1,1,23.34,72.09,650,0,7.5
8,20,2,520,1,-1455559688,5.14,1,1,23.34,72.09,650,0,7.5
10,20,2,520,1,-1455551914,5.14,1,1,23.34,72.09,650,0,7.5
12,20,2,520,1,-1455544394,5.14,1,1,23.34,72.09,650,0,7.5
14,20,2,520,1,-1455537622,5.14,1,1,23.34,72.09,650,0,7.5
16,20,2,520,1,-1455531623,5.14,1,1,23.34,72.09,650,0,7.5
18,20,2,520,1,-1455523293,5.14,1,1,23.34,72.09,650,0,7.5
20,20,2,520,1,-1455516322,5.14,1,1,23.34,72.09,650,0,7.5
