"run","Jahr","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","location","tox"
1,17,3000,2,2080,1,560133907,5.14,1,1,23.34,72.09,400,0,1,7.5
2,17,3000,2,2080,1,560186886,5.14,1,1,23.34,72.09,400,0,1,7.5
3,17,3000,2,2080,1,560227088,5.14,1,1,23.34,72.09,400,0,1,7.5
4,17,3000,2,2080,1,560267762,5.14,1,1,23.34,72.09,400,0,1,7.5
5,17,3000,2,2080,1,560311327,5.14,1,1,23.34,72.09,400,0,1,7.5
6,17,3000,2,2080,1,560351271,5.14,1,1,23.34,72.09,400,0,1,7.5
7,17,3000,2,2080,1,560392597,5.14,1,1,23.34,72.09,400,0,1,7.5
8,17,3000,2,2080,1,560434687,5.14,1,1,23.34,72.09,400,0,1,7.5
9,17,3000,2,2080,1,560478882,5.14,1,1,23.34,72.09,400,0,1,7.5
10,17,3000,2,2080,1,560520022,5.14,1,1,23.34,72.09,400,0,1,7.5
