"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,20,2,520,3,-1576669870,5.14,1,1,23.34,72.09,700,2,7.5
2,20,2,520,3,-1576666191,5.14,1,1,23.34,72.09,700,2,7.5
3,20,2,520,3,-1576663447,5.14,1,1,23.34,72.09,700,2,7.5
4,20,2,520,3,-1576661975,5.14,1,1,23.34,72.09,700,2,7.5
5,20,2,520,3,-1576660590,5.14,1,1,23.34,72.09,700,2,7.5
6,20,2,520,3,-1576659249,5.14,1,1,23.34,72.09,700,2,7.5
7,20,2,520,3,-1576658313,5.14,1,1,23.34,72.09,700,2,7.5
8,20,2,520,3,-1576657213,5.14,1,1,23.34,72.09,700,2,7.5
9,20,2,520,3,-1576656654,5.14,1,1,23.34,72.09,700,2,7.5
10,20,2,520,3,-1576656071,5.14,1,1,23.34,72.09,700,2,7.5
11,20,2,520,3,-1576655132,5.14,1,1,23.34,72.09,700,2,7.5
12,20,2,520,3,-1576654150,5.14,1,1,23.34,72.09,700,2,7.5
13,20,2,520,3,-1576653642,5.14,1,1,23.34,72.09,700,2,7.5
14,20,2,520,3,-1576653181,5.14,1,1,23.34,72.09,700,2,7.5
15,20,2,520,3,-1576652511,5.14,1,1,23.34,72.09,700,2,7.5
16,20,2,520,3,-1576651812,5.14,1,1,23.34,72.09,700,2,7.5
17,20,2,520,3,-1576651373,5.14,1,1,23.34,72.09,700,2,7.5
18,20,2,520,3,-1576650992,5.14,1,1,23.34,72.09,700,2,7.5
19,20,2,520,3,-1576650603,5.14,1,1,23.34,72.09,700,2,7.5
20,20,2,520,3,-1576650198,5.14,1,1,23.34,72.09,700,2,7.5
21,20,2,520,3,-1576649732,5.14,1,1,23.34,72.09,700,2,7.5
22,20,2,520,3,-1576649183,5.14,1,1,23.34,72.09,700,2,7.5
23,20,2,520,3,-1576648655,5.14,1,1,23.34,72.09,700,2,7.5
24,20,2,520,3,-1576648146,5.14,1,1,23.34,72.09,700,2,7.5
25,20,2,520,3,-1576647749,5.14,1,1,23.34,72.09,700,2,7.5
26,20,2,520,3,-1576647343,5.14,1,1,23.34,72.09,700,2,7.5
27,20,2,520,3,-1576646970,5.14,1,1,23.34,72.09,700,2,7.5
28,20,2,520,3,-1576646603,5.14,1,1,23.34,72.09,700,2,7.5
29,20,2,520,3,-1576646249,5.14,1,1,23.34,72.09,700,2,7.5
30,20,2,520,3,-1576645753,5.14,1,1,23.34,72.09,700,2,7.5
31,20,2,520,3,-1576645288,5.14,1,1,23.34,72.09,700,2,7.5
32,20,2,520,3,-1576644790,5.14,1,1,23.34,72.09,700,2,7.5
33,20,2,520,3,-1576644425,5.14,1,1,23.34,72.09,700,2,7.5
34,20,2,520,3,-1576643918,5.14,1,1,23.34,72.09,700,2,7.5
35,20,2,520,3,-1576643470,5.14,1,1,23.34,72.09,700,2,7.5
36,20,2,520,3,-1576642931,5.14,1,1,23.34,72.09,700,2,7.5
37,20,2,520,3,-1576642598,5.14,1,1,23.34,72.09,700,2,7.5
38,20,2,520,3,-1576642212,5.14,1,1,23.34,72.09,700,2,7.5
39,20,2,520,3,-1576641828,5.14,1,1,23.34,72.09,700,2,7.5
40,20,2,520,3,-1576641487,5.14,1,1,23.34,72.09,700,2,7.5
41,20,2,520,3,-1576641066,5.14,1,1,23.34,72.09,700,2,7.5
42,20,2,520,3,-1576640715,5.14,1,1,23.34,72.09,700,2,7.5
43,20,2,520,3,-1576640359,5.14,1,1,23.34,72.09,700,2,7.5
44,20,2,520,3,-1576640018,5.14,1,1,23.34,72.09,700,2,7.5
45,20,2,520,3,-1576639662,5.14,1,1,23.34,72.09,700,2,7.5
46,20,2,520,3,-1576639375,5.14,1,1,23.34,72.09,700,2,7.5
47,20,2,520,3,-1576639008,5.14,1,1,23.34,72.09,700,2,7.5
48,20,2,520,3,-1576638653,5.14,1,1,23.34,72.09,700,2,7.5
49,20,2,520,3,-1576638313,5.14,1,1,23.34,72.09,700,2,7.5
50,20,2,520,3,-1576637972,5.14,1,1,23.34,72.09,700,2,7.5
