"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","behaviour","tox"
1,20,2,520,1,-1577642110,5.14,1,1,23.34,72.09,700,0,7.5
3,20,2,520,1,-1577627337,5.14,1,1,23.34,72.09,700,0,7.5
5,20,2,520,1,-1577619855,5.14,1,1,23.34,72.09,700,0,7.5
7,20,2,520,1,-1577610894,5.14,1,1,23.34,72.09,700,0,7.5
9,20,2,520,1,-1577604250,5.14,1,1,23.34,72.09,700,0,7.5
11,20,2,520,1,-1577598106,5.14,1,1,23.34,72.09,700,0,7.5
13,20,2,520,1,-1577591126,5.14,1,1,23.34,72.09,700,0,7.5
15,20,2,520,1,-1577581853,5.14,1,1,23.34,72.09,700,0,7.5
17,20,2,520,1,-1577573843,5.14,1,1,23.34,72.09,700,0,7.5
19,20,2,520,1,-1577567248,5.14,1,1,23.34,72.09,700,0,7.5
21,20,2,520,1,-1577560826,5.14,1,1,23.34,72.09,700,0,7.5
23,20,2,520,1,-1577554312,5.14,1,1,23.34,72.09,700,0,7.5
25,20,2,520,1,-1577548302,5.14,1,1,23.34,72.09,700,0,7.5
27,20,2,520,1,-1577542218,5.14,1,1,23.34,72.09,700,0,7.5
29,20,2,520,1,-1577534075,5.14,1,1,23.34,72.09,700,0,7.5
31,20,2,520,1,-1577527517,5.14,1,1,23.34,72.09,700,0,7.5
33,20,2,520,1,-1577520571,5.14,1,1,23.34,72.09,700,0,7.5
35,20,2,520,1,-1577513052,5.14,1,1,23.34,72.09,700,0,7.5
37,20,2,520,1,-1577507088,5.14,1,1,23.34,72.09,700,0,7.5
39,20,2,520,1,-1577500900,5.14,1,1,23.34,72.09,700,0,7.5
41,20,2,520,1,-1577494464,5.14,1,1,23.34,72.09,700,0,7.5
43,20,2,520,1,-1577488019,5.14,1,1,23.34,72.09,700,0,7.5
45,20,2,520,1,-1577479208,5.14,1,1,23.34,72.09,700,0,7.5
47,20,2,520,1,-1577473223,5.14,1,1,23.34,72.09,700,0,7.5
49,20,2,520,1,-1577467126,5.14,1,1,23.34,72.09,700,0,7.5
2,20,2,520,1,-1577642128,5.14,1,1,23.34,72.09,700,0,7.5
4,20,2,520,1,-1577626884,5.14,1,1,23.34,72.09,700,0,7.5
6,20,2,520,1,-1577620154,5.14,1,1,23.34,72.09,700,0,7.5
8,20,2,520,1,-1577613782,5.14,1,1,23.34,72.09,700,0,7.5
10,20,2,520,1,-1577607157,5.14,1,1,23.34,72.09,700,0,7.5
12,20,2,520,1,-1577599436,5.14,1,1,23.34,72.09,700,0,7.5
14,20,2,520,1,-1577593023,5.14,1,1,23.34,72.09,700,0,7.5
16,20,2,520,1,-1577584102,5.14,1,1,23.34,72.09,700,0,7.5
18,20,2,520,1,-1577577215,5.14,1,1,23.34,72.09,700,0,7.5
20,20,2,520,1,-1577570115,5.14,1,1,23.34,72.09,700,0,7.5
22,20,2,520,1,-1577563956,5.14,1,1,23.34,72.09,700,0,7.5
24,20,2,520,1,-1577557335,5.14,1,1,23.34,72.09,700,0,7.5
26,20,2,520,1,-1577551009,5.14,1,1,23.34,72.09,700,0,7.5
28,20,2,520,1,-1577541959,5.14,1,1,23.34,72.09,700,0,7.5
30,20,2,520,1,-1577535514,5.14,1,1,23.34,72.09,700,0,7.5
32,20,2,520,1,-1577529834,5.14,1,1,23.34,72.09,700,0,7.5
34,20,2,520,1,-1577524401,5.14,1,1,23.34,72.09,700,0,7.5
36,20,2,520,1,-1577517517,5.14,1,1,23.34,72.09,700,0,7.5
38,20,2,520,1,-1577510981,5.14,1,1,23.34,72.09,700,0,7.5
40,20,2,520,1,-1577504887,5.14,1,1,23.34,72.09,700,0,7.5
42,20,2,520,1,-1577498955,5.14,1,1,23.34,72.09,700,0,7.5
44,20,2,520,1,-1577492644,5.14,1,1,23.34,72.09,700,0,7.5
46,20,2,520,1,-1577486108,5.14,1,1,23.34,72.09,700,0,7.5
48,20,2,520,1,-1577480364,5.14,1,1,23.34,72.09,700,0,7.5
50,20,2,520,1,-1577474421,5.14,1,1,23.34,72.09,700,0,7.5
