"run","tick","BefallGR","BefallGRsicht","BefallGRertrag"
1,1.0,3.4951456310679614,0.0,0.0
1,2.0,4.271844660194175,0.0,0.0
1,3.0,4.466019417475728,0.0,0.0
1,4.0,4.466019417475728,0.0,0.0
1,5.0,4.466019417475728,0.0,0.0
1,6.0,4.466019417475728,0.0,0.0
1,7.0,4.466019417475728,0.0,0.0
1,8.0,4.660194174757281,0.0,0.0
1,9.0,4.660194174757281,0.0,0.0
1,10.0,4.660194174757281,0.0,0.0
1,11.0,4.660194174757281,0.0,0.0
1,12.0,4.660194174757281,0.0,0.0
1,13.0,4.660194174757281,0.0,0.0
1,14.0,4.660194174757281,0.0,0.0
1,15.0,4.660194174757281,0.0,0.0
1,16.0,4.660194174757281,0.0,0.0
1,17.0,4.660194174757281,0.0,0.0
1,18.0,4.660194174757281,0.0,0.0
1,19.0,4.660194174757281,0.0,0.0
1,20.0,4.660194174757281,0.0,0.0
1,21.0,4.660194174757281,0.0,0.0
1,22.0,4.660194174757281,0.0,0.0
1,23.0,4.660194174757281,0.0,0.0
1,24.0,4.660194174757281,0.0,0.0
1,25.0,4.660194174757281,0.5825242718446602,0.5825242718446602
1,26.0,4.660194174757281,1.5533980582524272,1.5533980582524272
1,27.0,4.660194174757281,1.5533980582524272,1.5533980582524272
1,28.0,6.213592233009709,2.3300970873786406,2.3300970873786406
1,29.0,6.407766990291262,2.3300970873786406,2.3300970873786406
1,30.0,9.70873786407767,3.4951456310679614,3.4951456310679614
1,31.0,9.902912621359224,3.6893203883495143,3.6893203883495143
1,32.0,10.097087378640776,3.6893203883495143,3.6893203883495143
1,33.0,10.485436893203884,3.6893203883495143,3.6893203883495143
1,34.0,10.485436893203884,3.6893203883495143,3.6893203883495143
1,35.0,10.679611650485436,3.6893203883495143,3.6893203883495143
1,36.0,18.640776699029125,3.6893203883495143,3.6893203883495143
1,37.0,20.388349514563107,3.6893203883495143,3.6893203883495143
1,38.0,20.58252427184466,3.6893203883495143,3.6893203883495143
1,39.0,29.126213592233007,3.6893203883495143,3.6893203883495143
1,40.0,31.2621359223301,3.6893203883495143,3.6893203883495143
1,41.0,32.038834951456316,3.6893203883495143,3.6893203883495143
1,42.0,32.038834951456316,3.6893203883495143,3.6893203883495143
1,43.0,32.23300970873787,3.6893203883495143,3.6893203883495143
1,44.0,32.42718446601941,3.6893203883495143,3.6893203883495143
1,45.0,32.42718446601941,4.271844660194175,4.271844660194175
1,46.0,32.42718446601941,6.407766990291262,6.407766990291262
1,47.0,32.42718446601941,7.766990291262135,7.766990291262135
1,48.0,32.42718446601941,7.766990291262135,7.766990291262135
1,49.0,42.52427184466019,8.54368932038835,8.54368932038835
1,50.0,48.15533980582524,8.54368932038835,8.54368932038835
1,51.0,49.12621359223301,8.54368932038835,8.54368932038835
1,52.0,49.51456310679612,8.54368932038835,8.54368932038835
1,53.0,59.417475728155345,8.54368932038835,8.54368932038835
1,54.0,62.71844660194175,9.70873786407767,9.70873786407767
1,55.0,63.49514563106796,9.70873786407767,9.70873786407767
1,56.0,65.0485436893204,12.233009708737864,12.233009708737864
1,57.0,65.4368932038835,12.427184466019417,12.427184466019417
1,58.0,66.01941747572816,14.174757281553399,14.174757281553399
1,59.0,66.01941747572816,14.174757281553399,14.174757281553399
1,60.0,66.01941747572816,19.02912621359223,14.563106796116504
1,61.0,72.42718446601941,19.223300970873787,14.757281553398057
1,62.0,73.59223300970874,20.97087378640777,15.53398058252427
1,63.0,77.28155339805825,21.16504854368932,15.728155339805824
1,64.0,77.47572815533981,22.9126213592233,16.50485436893204
1,65.0,77.86407766990291,22.9126213592233,16.699029126213592
1,66.0,77.86407766990291,25.8252427184466,18.446601941747574
1,67.0,78.05825242718447,25.24271844660194,18.640776699029125
1,68.0,78.05825242718447,25.24271844660194,18.83495145631068
1,69.0,78.05825242718447,25.631067961165048,18.640776699029125
1,70.0,87.18446601941747,25.631067961165048,18.640776699029125
1,71.0,87.57281553398059,29.126213592233007,21.941747572815533
1,72.0,89.90291262135922,31.06796116504854,23.300970873786408
1,73.0,89.90291262135922,37.4757281553398,29.126213592233007
1,74.0,89.90291262135922,43.689320388349515,33.20388349514563
1,75.0,89.90291262135922,49.12621359223301,37.66990291262136
1,76.0,90.09708737864077,51.067961165048544,40.3883495145631
1,77.0,90.09708737864077,53.20388349514563,26.407766990291265
1,78.0,90.29126213592234,56.89320388349515,28.349514563106798
1,79.0,90.29126213592234,60.38834951456311,32.81553398058252
1,80.0,92.23300970873787,65.8252427184466,40.19417475728155
1,81.0,92.81553398058252,68.3495145631068,45.24271844660194
1,82.0,92.81553398058252,69.12621359223301,47.18446601941748
1,83.0,92.81553398058252,70.09708737864078,48.932038834951456
1,84.0,92.81553398058252,75.14563106796116,21.16504854368932
1,85.0,92.81553398058252,75.33980582524272,21.16504854368932
1,86.0,92.81553398058252,77.86407766990291,26.21359223300971
1,87.0,92.81553398058252,77.28155339805825,30.29126213592233
1,88.0,92.81553398058252,82.71844660194175,42.71844660194174
1,89.0,92.81553398058252,83.30097087378641,45.63106796116505
1,90.0,92.81553398058252,86.2135922330097,49.90291262135923
1,91.0,92.81553398058252,85.63106796116506,49.12621359223301
1,92.0,92.81553398058252,85.04854368932038,49.90291262135923
1,93.0,92.81553398058252,86.40776699029125,51.45631067961165
1,94.0,92.81553398058252,86.2135922330097,54.95145631067962
1,95.0,92.81553398058252,86.99029126213593,55.33980582524271
1,96.0,92.81553398058252,87.57281553398059,57.28155339805825
1,97.0,92.81553398058252,87.18446601941747,56.116504854368934
1,98.0,92.81553398058252,82.33009708737865,58.64077669902913
1,99.0,92.81553398058252,81.74757281553397,60.19417475728155
1,100.0,92.81553398058252,82.33009708737865,60.0
1,101.0,92.81553398058252,82.52427184466019,60.58252427184466
1,102.0,94.75728155339806,81.55339805825243,59.02912621359223
1,103.0,95.53398058252426,82.91262135922331,60.58252427184466
1,104.0,95.53398058252426,59.80582524271845,59.80582524271845
1,105.0,96.11650485436894,60.19417475728155,60.19417475728155
1,106.0,96.31067961165049,60.77669902912621,60.77669902912621
1,107.0,96.31067961165049,60.19417475728155,60.19417475728155
1,108.0,96.31067961165049,60.77669902912621,60.77669902912621
1,109.0,96.31067961165049,59.6116504854369,59.6116504854369
1,110.0,96.31067961165049,60.0,60.0
1,111.0,96.31067961165049,60.58252427184466,60.58252427184466
1,112.0,96.31067961165049,60.58252427184466,60.58252427184466
1,113.0,96.31067961165049,60.19417475728155,60.19417475728155
1,114.0,96.69902912621359,61.94174757281553,61.94174757281553
1,115.0,96.69902912621359,65.8252427184466,65.8252427184466
1,116.0,96.69902912621359,74.75728155339806,74.75728155339806
1,117.0,96.69902912621359,74.75728155339806,74.75728155339806
1,118.0,96.69902912621359,74.75728155339806,74.75728155339806
1,119.0,96.69902912621359,74.75728155339806,74.75728155339806
1,120.0,96.69902912621359,74.75728155339806,74.75728155339806
1,121.0,96.69902912621359,74.75728155339806,74.75728155339806
1,122.0,96.69902912621359,74.75728155339806,74.75728155339806
1,123.0,96.69902912621359,74.75728155339806,74.75728155339806
1,124.0,96.69902912621359,74.75728155339806,74.75728155339806
