"run","PestCount","noAzole","cropCount","resistance","randomSeed","applicationcost","risktox","noCarboxamide","erzeugerpreis","fungizid","septoria_count","location","behaviour","tox"
1,700,2,2080,1,-1486215976,5.14,1,1,23.34,72.09,200,2,0,7.5
2,700,2,2080,1,-1486116833,5.14,1,1,23.34,72.09,200,2,0,7.5
3,700,2,2080,1,-1486029565,5.14,1,1,23.34,72.09,200,2,0,7.5
4,700,2,2080,1,-1485943011,5.14,1,1,23.34,72.09,200,2,0,7.5
5,700,2,2080,1,-1485858806,5.14,1,1,23.34,72.09,200,2,0,7.5
6,700,2,2080,1,-1485776093,5.14,1,1,23.34,72.09,200,2,0,7.5
7,700,2,2080,1,-1485692900,5.14,1,1,23.34,72.09,200,2,0,7.5
8,700,2,2080,1,-1485583998,5.14,1,1,23.34,72.09,200,2,0,7.5
9,700,2,2080,1,-1485471294,5.14,1,1,23.34,72.09,200,2,0,7.5
10,700,2,2080,1,-1485356945,5.14,1,1,23.34,72.09,200,2,0,7.5
